y,case_id,inv_cty,iso2,hs6,p_ad_yyyymm,수입 중량 급증률 3개월,수입 발생 월수 - 조치 전 3개월,수입 발생 월수 - 조치 후 3개월,수입 중량 급증률 6개월,수입 발생 월수 - 조치 전 6개월,수입 발생 월수 - 조치 후 6개월,수입 중량 급증률 12개월,수입 발생 월수 - 조치 전 12개월,수입 발생 월수 - 조치 후 12개월,수출 중량 급증률 3개월,수출 발생 월수 - 조치 전 3개월,수출 발생 월수 - 조치 후 3개월,수출 중량 급증률 6개월,수출 발생 월수 - 조치 전 6개월,수출 발생 월수 - 조치 후 6개월,수출 중량 급증률 12개월,수출 발생 월수 - 조치 전 12개월,수출 발생 월수 - 조치 후 12개월,반덤핑 관세율,동일 HS6에 대한 미국 AD 조치 대상국 수,반덤핑 조사 소요 기간,해당 HS6 최초 AD 조치 이후 경과 연수,반덤핑 조치 부과 연도,HS 챕터,조치대상국의 한국 HS6 수입 비중 조치 전,조치대상국의 한국 HS6 수입 비중 조치 후,조치대상국의 한국 HS6 수입 비중 변화,미국 GDP 성장률,중국 GDP 성장률,조치대상국 GDP 성장률,조치대상국 1인당 GDP,원·달러 환율 변화율,조치대상국 통화의 원화 환율 변화율,한국 수출 증가율,조치대상국-미국 간 인구가중 거리,조치대상국-한국 간 인구가중 거리,한국 GDP 성장률,한국 제조업 생산 증가율,조치대상국발 한국 HS6 수입 집중도,글로벌 무역 성장률,반덤핑 조치 시행 이후 경과 월수,미국의 연간 반덤핑 조치 건수,조치대상국의 대미 무역수지,브렌트 원유 가격,발틱 운임지수 BDI,글로벌 HS6 수출 규모,조치대상국의 대미 UN 투표 일치율
0,USA-AD-1010,China,CN,730890,200212,0.5773,3,3,0.666,6,6,0.6509,12,12,-0.2912,3.0,3.0,-0.6087,6.0,6.0,-0.7608,12.0,12.0,32.73,3,7,0,2002,73,0.391,0.599972,0.208972,1.700447,9.243393,9.243393,2610.729603,-0.030359,-1.3e-05,12.278075,11183.43,1168.165,7.743999,9.242373,0.391,0.005415,270,38,35421997979.6472,28.33,1738.0,8005193063.0,0.261538461538462
0,USA-AD-1010,China,CN,732690,200212,-0.1595,3,3,-0.0664,6,6,0.3198,12,12,0.307,3.0,3.0,0.1946,6.0,6.0,-0.0159,12.0,12.0,32.73,7,7,0,2002,73,0.183739,0.171245,-0.012493,1.700447,9.243393,9.243393,2610.729603,-0.030359,-1.3e-05,12.278075,11183.43,1168.165,7.743999,9.242373,0.183739,0.005415,270,38,35421997979.6472,28.33,1738.0,13606583314.0,0.261538461538462
0,USA-AD-1013,China,CN,292511,200212,-0.0464,3,3,0.118,6,6,0.2641,12,12,2.2849,2.0,2.0,5.8755,4.0,5.0,14.0617,8.0,11.0,363.22,2,5,8,2002,29,0.877543,0.936597,0.059054,1.700447,9.243393,9.243393,2610.729603,-0.030359,-1.3e-05,12.278075,11183.43,1168.165,7.743999,9.242373,0.877543,0.005415,270,38,35421997979.6472,28.33,1738.0,76932970.0,0.261538461538462
0,USA-AD-1014,China,CN,390530,200303,0.7273,3,3,0.9219,6,6,1.8469,11,12,-0.8826,3.0,1.0,-0.8308,6.0,3.0,-0.8988,12.0,4.0,97.86,6,6,8,2003,39,0.029497,0.077898,0.048401,2.795606,10.118193,10.118193,2857.037354,-0.047904,1e-05,13.443145,11183.43,1168.165,3.074727,4.78155,0.029497,0.041112,267,18,43051582861.334,30.61,1939.0,,0.221052631578947
0,USA-AD-1015,Germany,DE,390530,200302,0.6667,3,2,0.5929,6,5,0.0923,10,11,-0.7807,3.0,2.0,-0.7648,6.0,4.0,-0.8637,12.0,5.0,10.75,6,5,8,2003,39,0.131686,,,2.795606,10.118193,-0.529801,35270.022728,-0.047904,-0.164068,13.443145,7595.452,8503.73,3.074727,4.78155,0.131686,0.041112,268,18,38844755800.7871,32.77,1764.0,,0.494845360824742
0,USA-AD-1016,Japan,JP,390530,200302,0.1751,3,3,0.0715,6,6,0.0704,12,12,-0.7807,3.0,2.0,-0.7648,6.0,4.0,-0.8637,12.0,5.0,24.82,6,5,8,2003,39,7.08723,,,2.795606,10.118193,1.535125,31830.217585,-0.047904,-0.075402,13.443145,10286.19,951.7373,3.074727,4.78155,7.08723,0.041112,268,18,139380520054.083,32.77,1764.0,,0.443298969072165
0,USA-AD-1019,Canada,CA,100190,200305,0.3503,3,3,0.1612,6,6,0.0577,12,9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1,8,0,2003,10,0.03948,0.044061,0.004582,2.795606,10.118193,1.806385,39270.023458,-0.047904,-0.107829,13.443145,2079.297,10032.81,3.074727,4.78155,0.03948,0.041112,265,18,10432942306.8005,25.86,2127.0,14440954430.0,0.5
0,USA-AD-1020,China,CN,283660,200308,0.0435,3,3,0.2326,6,6,0.2083,12,12,,0.0,0.0,,0.0,1.0,,0.0,1.0,81.3,1,10,0,2003,28,0.904258,0.887011,-0.017247,2.795606,10.118193,10.118193,2857.037354,-0.047904,1e-05,13.443145,11183.43,1168.165,3.074727,4.78155,0.904258,0.041112,262,18,43051582861.334,29.89,2265.0,95086559.0,0.221052631578947
0,USA-AD-1021,China,CN,730719,200306,0.0033,3,3,0.0011,6,6,0.1872,12,12,-0.3169,3.0,3.0,-0.0095,6.0,6.0,-0.2029,12.0,12.0,146.41,2,7,10,2003,73,,1.040826,,2.795606,10.118193,10.118193,2857.037354,-0.047904,1e-05,13.443145,11183.43,1168.165,3.074727,4.78155,,0.041112,264,18,43051582861.334,27.65,2125.0,962352021.0,0.221052631578947
0,USA-AD-1022,China,CN,281810,200305,-0.1083,3,3,-0.0141,6,6,0.1112,12,12,,0.0,0.0,,0.0,0.0,,0.0,1.0,218.93,1,6,0,2003,28,0.490873,0.5136,0.022728,2.795606,10.118193,10.118193,2857.037354,-0.047904,1e-05,13.443145,11183.43,1168.165,3.074727,4.78155,0.490873,0.041112,265,18,43051582861.334,25.86,2127.0,553813924.0,0.221052631578947
