Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_초기(~2002),DirectionPearson_초기(~2002),DirectionSpearman_초기(~2002),Rank_중기(2002~2016),DirectionPearson_중기(2002~2016),DirectionSpearman_중기(2002~2016),Rank_최근(>2016),DirectionPearson_최근(>2016),DirectionSpearman_최근(>2016)
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427,1,0.17897374777065886,0.5494290419270851,1,0.11073759112329727,0.5946089483948287,1,0.1778928813394171,0.47158081057231643
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031,2,0.34145839768855163,0.6129166746701128,2,0.13159842265481567,0.7115708558940638,2,0.3213652741235563,0.5766511323424546
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855,3,0.37249174223941045,0.84608007155806,3,0.15548514628614302,0.9338484106494136,3,0.16078581786741963,0.9194107975013726
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942,5,0.291503598679102,0.4532088248505986,4,0.29924014131481497,0.5701424471314059,4,0.17130773272647776,0.6142903760054098
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519,4,0.2447667845868809,0.33787935054672,6,0.14385204553230682,0.14275836471974612,5,0.23705094347695568,0.1468041318573654
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691,6,0.19078532062679593,0.7366231052237524,5,0.0872706516615982,0.6626803718194053,6,0.3379165851957246,0.6774799870396021
hs6,7,0.5588406269523918,0.9048016664687653,10,0.33169138948114646,0.8875612241092303,7,0.5871260806856301,0.9151271139819803,7,0.8145757583607384,0.7410572643559067
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124,7,-0.11023086269632798,-0.7632654192768887,8,-0.25495457610339284,-0.8179755787868138,9,-0.45262088043185195,-0.7858474731617048
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783,8,-0.8725561231571543,-0.7405625942131915,10,-0.8811328447530599,-0.7780750464418614,8,-0.8842006175955676,-0.6061700664841085
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246,9,0.6583363199266259,0.838985022866788,12,0.6395498703796252,0.6464258000099019,18,0.6710285587710136,0.615803889232352
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884,25,-0.16627667053399955,-0.0879355692172322,9,0.7232101223528186,0.6131917544309908,14,0.13673988996309966,-0.24579926414790054
case_id,12,-0.5873800439718871,-0.5428162192581066,17,0.012147791273429916,0.2146907924227381,11,-0.6926715165783766,-0.5661274662847804,10,-0.7525633824573,-0.7366640650749332
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796,13,-0.6540134777534271,-0.5108462174653138,16,-0.09741204496287312,-0.004640590792535108,13,-0.7783187342413039,-0.6536783245193151
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271,19,0.7929953753632798,0.7230883798588904,13,0.732976281386108,0.42076846449336586,11,0.7147953166654006,0.5977208978530327
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908,15,-0.6552576175489456,-0.5583492996267917,14,-0.7382996528430246,-0.5951281754019334,20,-0.725286591331108,-0.42797647492211743
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353,18,-0.4877654874206831,-0.582145152103182,15,-0.5454677858975926,-0.7155730152982022,15,-0.5732834864502142,-0.787635854117363
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807,12,0.884480201904679,0.8503925900616193,20,0.7573906251333318,0.7730262985733306,19,0.7774232719907972,0.8516449172365617
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411,23,-0.3147737628854133,-0.3852596373846238,17,-0.5661143768933766,-0.6858668887352299,12,-0.4088362349348206,-0.823339500184041
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174,14,0.7237210388885771,0.695774410010284,19,0.7057363977664717,0.7133722399587439,16,0.6373927421377797,0.5614705205659155
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374,11,-0.6994786170649404,-0.8724446351305073,21,-0.6159398185841652,-0.6740844283581028,26,-0.22402468787846813,-0.3144416309576997
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057,16,-0.3272259453149058,-0.05875229199969249,18,-0.5625806021372886,-0.5432923478996594,17,-0.616394595722583,-0.6743668355819493
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935,22,-0.8036777197018966,-0.5356087780883481,23,0.26331729664808845,-0.0041422816328514035,21,-0.50988872208715,-0.415909269562523
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041,20,-0.8849903499635268,-0.8830079768224441,25,-0.8733966430358275,-0.7344962549866985,25,-0.8568494342518499,-0.4905308787723894
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725,21,-0.7801329503208665,-0.677344933588556,27,-0.2889650198997352,-0.4911493418230229,22,-0.5051106059844083,-0.7836625895320679
inv_cty,25,-0.44749134781165584,-0.5769674973968539,30,-0.5005387271713834,-0.6944154393125813,22,-0.44504661690472114,-0.512173638953601,23,-0.3763716964663662,-0.4317437368128151
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365,29,0.08889620339733256,-0.27629692637360126,24,0.04154827992275966,-0.38017386301931827,24,0.24168654070063977,-0.2931525418207378
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871,24,0.47248722494366546,0.8323408753959074,26,0.32511839681319293,0.787303708570381,31,0.3052525856940632,0.7844882495026639
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203,26,0.6456876039572466,0.6581621116947218,31,0.6562006096668854,0.5431760825626661,28,0.6537208632343907,0.6753143671559365
iso2,29,-0.6440943359299091,-0.7059975756134544,31,-0.5117844643573373,-0.6145295067855879,30,-0.7463273905970615,-0.7193796032415651,32,-0.6286917574537098,-0.6752958588106479
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651,32,-0.5877808513554329,-0.7519566754661058,28,-0.571029735716203,-0.7674026356280295,33,-0.5628249871505904,-0.7633105402150007
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599,33,0.17562903489066314,0.5925060114383963,29,0.4352672580661396,0.6777762339988744,30,0.44496250237544577,0.8061493034124971
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578,28,-0.6058533300466331,-0.10846282571350527,40,-0.5968160388829779,-0.7448532361590947,27,-0.903359769046661,-0.9050401350764415
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261,36,0.4902745439065549,0.3737387278038255,32,0.10651921531741966,0.4272604761457969,36,-0.16132282837650444,0.15410145078408613
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855,37,0.19029294532589233,-0.40076964196219145,34,-0.12768220614187673,-0.4080032860158357,29,0.5128336473913824,-0.2977465033660506
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086,27,0.45894559435696874,0.35167931531685553,46,-0.587945175003649,-0.6563528245487941,35,0.196767233137852,-0.1356575975390257
