Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_강세(<-0.9%),DirectionPearson_강세(<-0.9%),DirectionSpearman_강세(<-0.9%),Rank_보합(-0.9%~4.7%),DirectionPearson_보합(-0.9%~4.7%),DirectionSpearman_보합(-0.9%~4.7%),Rank_약세(>4.7%),DirectionPearson_약세(>4.7%),DirectionSpearman_약세(>4.7%)
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427,1,0.12328666092082378,0.5905088151976625,1,0.15019474731691887,0.5834303062844993,1,0.12975205735477036,0.39234591652213907
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031,2,0.14135281820891704,0.6652265557065695,2,0.09446493533026264,0.702035092842248,2,0.11578349212595733,0.6089176802058279
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855,3,0.09034614157432728,0.910511706024682,3,0.12688372323595942,0.93121228624696,3,0.12131593986309615,0.9227354759141698
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942,4,0.3144345651173437,0.469065894452475,4,0.2329863188850465,0.6041593878331364,5,0.26220535354823005,0.5208486820294436
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519,5,0.1378605297602543,0.3682843803917452,6,0.18432678512437878,0.24213309743430875,6,0.16210846828252218,0.06335120309413161
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691,6,0.07276091370444697,0.6172498695602022,5,0.4719017789109891,0.7515662306219563,4,0.08164554729489402,0.6778944974691546
hs6,7,0.5588406269523918,0.9048016664687653,7,0.5995280365819804,0.908073115111353,7,0.6213060565816109,0.8867863555402739,10,0.3896558327309578,0.895687395076299
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124,8,-0.1098202017562106,-0.774517934507668,8,-0.22032521384723372,-0.7906163094389669,7,-0.2228658972244417,-0.8241577016066943
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783,9,-0.8979191683095362,-0.8021112041709662,9,-0.8963396609424003,-0.7860819440275925,8,-0.869862067917139,-0.7731800596464652
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246,15,0.6939030400419491,0.6783163224803725,11,0.6368036253898248,0.6897601593296073,9,0.6350767038085801,0.8134932337788721
