Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_비중감소,DirectionPearson_비중감소,DirectionSpearman_비중감소,Rank_비중증가,DirectionPearson_비중증가,DirectionSpearman_비중증가
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427,1,0.16055459681614878,0.33358758689501505,2,0.09200423663339048,0.8687520840340118
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031,2,0.15812131386629708,0.7076575205158313,1,0.11825520801273767,0.675318993296639
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855,3,0.10073685830337704,0.928670760740534,4,0.11121545945013983,0.9098369508696162
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942,6,-0.5402854915953205,-0.6523476658480218,3,0.4137539199661493,0.7131165761554906
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519,4,0.26171359615783113,0.15459842996282963,5,0.12538500866460173,0.5870497540868638
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691,5,0.027005927624865915,0.6057512341277265,6,0.33354227519708357,0.27674842846010167
hs6,7,0.5588406269523918,0.9048016664687653,8,0.5625609987264848,0.9197917065532852,7,0.6222001328271889,0.8523859122745601
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124,7,-0.09253890592053887,-0.7782940453247637,9,-0.17344488755510162,-0.7763740505012423
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783,9,-0.8787837456820348,-0.7784338467637884,8,-0.886930203477893,-0.7898026494102754
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246,11,0.6645068578760531,0.6956823196692109,27,0.2899385497241295,0.14431834519001105
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884,10,0.7039367353012933,0.33764445529838194,12,0.6445650987409859,0.4078124187610392
case_id,12,-0.5873800439718871,-0.5428162192581066,14,-0.5366725984351032,-0.47950863132112387,10,-0.7109315226115546,-0.7162446099973542
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796,13,-0.43896182311846527,-0.35564594054511195,15,-0.0645876254988294,0.06989956133925532
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271,15,0.7153774862571967,0.6392104053243081,13,0.6707508758787116,0.6704353124956637
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908,17,-0.7355738053148091,-0.645644175254068,14,-0.6663170310075442,-0.6958188780932743
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353,19,-0.6876829340713595,-0.8260043381539923,11,-0.5943235232752467,-0.7397751732888527
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807,20,0.7879131928904652,0.8357288983235182,20,0.7500089361664831,0.8470506863343685
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411,21,-0.44909349914781654,-0.623684111784426,17,-0.5357041495086858,-0.7501839504855892
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174,12,0.7354955613421086,0.6858358584477637,28,0.5092998171379284,0.39866860053755504
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374,16,-0.7235222020097213,-0.783430691059671,18,-0.5574724416872029,-0.6546731124022047
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057,18,-0.587869591298639,-0.5558809134582073,16,-0.6443219277677482,-0.6766275481911896
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935,25,-0.06483949073739781,-0.003164489456176127,19,-0.04777749206670644,-0.02670050773242913
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041,22,-0.8783092553630013,-0.7858716299160466,23,-0.8777796528436442,-0.7899655464548427
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725,27,-0.47491331048117136,-0.6259526798010454,21,-0.38519255272542474,-0.6463077260676471
inv_cty,25,-0.44749134781165584,-0.5769674973968539,24,-0.4707170326515256,-0.6198648672936152,24,-0.4504781687134635,-0.5951122176946474
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365,23,0.17909411551906723,-0.24835312222916184,22,0.21286124146720328,0.03919265879001613
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871,28,0.3635851446597873,0.798009114358428,26,0.39232965988837115,0.7915842817454098
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203,26,0.619210770966848,0.5366960942454021,36,0.7008628921464394,0.4335658385510033
iso2,29,-0.6440943359299091,-0.7059975756134544,31,-0.6249094952796993,-0.6899974207642716,35,-0.6215606975431819,-0.6667196234700857
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651,30,-0.7312438891006263,-0.8593317017939551,25,-0.40642922828871236,-0.6709539693017355
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599,29,0.34235550672543935,0.7055246640303403,32,0.26234793892850466,0.5509209294405353
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578,35,-0.7480477827904507,-0.872617763748469,29,-0.731632518553155,-0.8630060632988256
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261,32,0.2969755228160825,0.5377480841168598,31,-0.29854109340069895,0.130161204057722
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855,33,0.3607411263389476,-0.5304981615849987,33,0.07033786188120357,-0.10629283859060835
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086,34,0.37879007850288365,-0.04970838905062882,39,0.250410781204902,-0.10626532234976072
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688,36,-0.1610276688591933,-0.0632817746964215,30,0.19749353414527995,0.21942416076069526
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685,37,-0.15420014109788485,-0.43948864949815253,38,-0.38257231355652155,-0.6258517621821754
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053,38,-0.0104023980565091,-0.04101828148794576,34,-0.2834389506401219,-0.356236981426329
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557,39,-0.5064778178053556,-0.6343034216618428,40,-0.4282822461181358,-0.5608538397634724
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596,40,0.21256264671177616,0.2498174080077031,43,0.30183488048472623,0.11707554495037173
HS_챕터,41,0.23323791916126071,0.467284785622024,41,0.27377685035460986,0.4536796782123081,41,0.2290353403499181,0.3414241034025334
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393,44,0.4902593763114494,0.4630989555305388,37,0.011572735911090336,-0.1214116335119805
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613,42,0.6667699590881955,0.7428069541160168,47,0.7060179029936865,0.613985872622509
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551,45,0.06359890273578733,0.04296409205936572,42,-0.4147413938136054,-0.4619459680538514
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377,43,0.41066692346443606,0.4579195561389548,44,0.4237603743770501,0.5991554327332851
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161,46,-0.648163482732069,-0.6585778097118775,45,-0.4373322183107061,-0.3560058402057454
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506,48,-0.5597481655094787,-0.3548883766026987,46,-0.5109750663436152,-0.350534676567591
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526,47,0.005223782956886066,-0.04084486089568874,48,0.13439644111290178,0.12073361914937207
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618,50,0.6743125313644915,0.8049591161558992,49,0.48311038511469856,0.5587845494777066
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603,49,0.5290518894463586,0.6610618245746073,50,0.46854051931158686,0.6295960275733447
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283,51,0.2380864824839467,0.4032987573831132,51,0.507031502676577,0.18877382357031955
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109,52,0.10695148287695277,0.04996116089771413,52,0.14204255432719803,0.12746258777920433
