Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
수입 중량 급증률 12개월,1.5423795299073992,42.446963704042886,3.0907931867979603,0.2473245664645845,0.26571906641763365,0.26567821285642457,0.8607191657531381,0.2611934458108682
수출 중량 급증률 12개월,1.2200211203757452,33.575518353685695,2.463408707887575,0.19282151490673546,0.23045935789741617,0.2734952407687288,0.9016749954474673,0.2726946975802402
수입 중량 급증률 6개월,0.3037664855410828,8.359787416940845,0.6096261655786622,0.1463594149990216,0.18183979832336628,0.24786202024274148,0.8547740658030037,0.2594949166318677
조치대상국의 한국 HS6 수입 비중 변화,0.21572610748633383,5.9368774526180506,0.4835605301384848,0.027996431432661086,0.08998017976508937,0.4635678187617684,0.8160234607367733,0.47445477567167677
수출 중량 급증률 6개월,0.12203502640164283,3.358457653158457,0.24403236140129025,0.0673323763184659,0.0804223889222218,0.33019733398629303,0.8169800911433095,0.33937119030647844
글로벌 HS6 수출 규모,0.08281397416717504,2.279077028383973,0.18240365966977107,0.07400375711405131,0.04478054105622443,0.33560389342057767,0.8846132858513719,0.3356038934205776
해당 HS6 최초 AD 조치 이후 경과 연수,0.0435525491674548,1.198585327335411,0.09256938844919207,-0.03811969748513549,-0.03348601756887822,-0.7347392160058343,-0.8827751694091527,-0.7347392160058344
수출 중량 급증률 3개월,0.02587000512635536,0.7119539304880018,0.057989347726106664,0.032041187016879503,0.07126575350818973,-0.25273916155707427,-0.8132431773605798,-0.25273916155707415
반덤핑 조치 부과 연도,0.02488745314982331,0.684913667519979,0.05147404968738556,-0.051836898740009844,-0.04358022878079315,-0.8282545216637541,-0.8628716836908049,-0.8282545216637541
수입 중량 급증률 3개월,0.019368533139089938,0.5330305590899935,0.03970857709646226,0.2147352829723534,0.2374651630299676,0.3028964095675096,0.866843755380729,0.30289640956750963
반덤핑 조치 시행 이후 경과 월수,0.018395079796030694,0.5062406945208653,0.036802615982193726,0.050150770140007954,0.042135704403626274,0.8369688856453172,0.7501253274015679,0.9088492130700045
글로벌 무역 성장률,0.00834191636408416,0.22957321091372396,0.022598299595374117,0.008451972676828363,0.040143101063388247,0.6539686154109272,0.5604278030861529,0.7770582049552888
조치대상국 통화의 원화 환율 변화율,0.006505019528773229,0.17902100130212756,0.02333268221514065,-0.08556400304930303,-0.09169721658499139,-0.43771376237666476,-0.49857708398879674,-0.564717898066086
조치대상국 1인당 GDP,0.0,0.0,0.0,-0.02551739072396054,0.001703340134428705,,,
한중 FTA 발효 여부,0.0,0.0,0.0,-0.09843740386976967,-0.09357454215469306,,,
조치대상국 GDP 성장률,0.0,0.0,0.0,-0.06513036737196098,-0.04029056137263697,,,
원·달러 환율 변화율,0.0,0.0,0.0,0.019479549481283078,0.0007438303659639588,,,
한국 수출 증가율,0.0,0.0,0.0,-0.0003946845403630815,0.02454975235188736,,,
중국 GDP 성장률,0.0,0.0,0.0,0.0340896005723254,0.05918918144534014,,,
미국 GDP 성장률,0.0,0.0,0.0,0.011568199290467625,0.061675486666697525,,,
한미 FTA 발효 여부,0.0,0.0,0.0,-0.03883678186903095,-0.02742130040403077,,,
발틱 운임지수 BDI,0.0,0.0,0.0,0.08370326396962613,0.07418532146239262,,,
조치대상국-미국 간 인구가중 거리,0.0,0.0,0.0,0.00581788337568147,-0.015124930068688733,,,
조치대상국-한국 간 인구가중 거리,0.0,0.0,0.0,-0.03263275150001072,-0.08730159871646029,,,
브렌트 원유 가격,0.0,0.0,0.0,-0.0036276723195511696,0.023536665888383042,,,
한국 제조업 생산 증가율,0.0,0.0,0.0,-0.005050882687535499,0.011744067178546707,,,
조치대상국의 한국 HS6 수입 비중 조치 후,0.0,0.0,0.0,0.07070316412932842,0.10429047936182811,,,
조치대상국발 한국 HS6 수입 집중도,0.0,0.0,0.0,-0.054096614543097436,0.012243705025184373,,,
미국의 연간 반덤핑 조치 건수,0.0,0.0,0.0,-0.06801774409132505,-0.10958815649573617,,,
소비재 품목 여부,0.0,0.0,0.0,0.02679319110771217,0.07824663995403593,,,
농산물 품목 여부,0.0,0.0,0.0,0.06984302957695779,0.09053215782447444,,,
조치대상국의 대미 무역수지,0.0,0.0,0.0,0.03963615970369897,0.034968407490717765,,,
한국 GDP 성장률,0.0,0.0,0.0,-0.014318537612525013,-0.0024013132997468545,,,
기계·전자 품목 여부,0.0,0.0,0.0,0.19674775073518588,0.1399541277128026,,,
조치대상국의 한국 HS6 수입 비중 조치 전,0.0,0.0,0.0,-0.05038055679745301,0.01333927956119331,,,
수출 발생 월수 - 조치 전 12개월,0.0,0.0,0.0,0.007495054799641486,0.019542458542223085,,,
수입 발생 월수 - 조치 후 3개월,0.0,0.0,0.0,0.23476397766430357,0.32736714532543265,,,
수입 발생 월수 - 조치 전 6개월,0.0,0.0,0.0,0.1692745701231591,0.25849578028025727,,,
수입 발생 월수 - 조치 후 6개월,0.0,0.0,0.0,0.27020737930375255,0.3591386576742759,,,
수입 발생 월수 - 조치 전 12개월,0.0,0.0,0.0,0.13719961539063572,0.21879995149449843,,,
수입 발생 월수 - 조치 후 12개월,0.0,0.0,0.0,0.2789572608861532,0.373663825925275,,,
조치 기간 내 수입 신규 여부,0.0,0.0,0.0,-0.20725666807241958,-0.2501968770953583,,,
수출 발생 월수 - 조치 전 3개월,0.0,0.0,0.0,0.08007047851363955,0.09624356014656969,,,
수출 발생 월수 - 조치 후 3개월,0.0,0.0,0.0,0.12797909633940657,0.15407379996872467,,,
수출 발생 월수 - 조치 전 6개월,0.0,0.0,0.0,0.05031722981532338,0.06016951244686026,,,
수출 발생 월수 - 조치 후 6개월,0.0,0.0,0.0,0.16139011458197394,0.18725643894717087,,,
수출 발생 월수 - 조치 후 12개월,0.0,0.0,0.0,0.18280228544935068,0.2118954306399759,,,
코로나 팬데믹 기간 여부,0.0,0.0,0.0,0.05604784792072308,0.04959192969731612,,,
조치 기간 내 수출 신규 여부,0.0,0.0,0.0,-0.11691309338623891,-0.09096533274895484,,,
반덤핑 관세율,0.0,0.0,0.0,0.05861797723353738,0.08174874573246309,,,
동일 HS6에 대한 미국 AD 조치 대상국 수,0.0,0.0,0.0,-0.08837563579747747,-0.09543343808737151,,,
반덤핑 조사 소요 기간,0.0,0.0,0.0,0.05044966692040894,0.08166450930274838,,,
조치대상국 중국 여부,0.0,0.0,0.0,0.05552471705439747,0.05516865962143852,,,
