Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_소규모,DirectionPearson_소규모,DirectionSpearman_소규모,Rank_중규모,DirectionPearson_중규모,DirectionSpearman_중규모,Rank_대규모,DirectionPearson_대규모,DirectionSpearman_대규모
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.28015372053218934,0.8520617865896556,1,0.2551760035389465,0.7919532582516428,1,0.452231930791127,0.8841220833137923
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.3477385119308254,0.8711487430658014,2,0.19251256361988492,0.90495427047686,2,0.46420508062318006,0.909780149781071
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.3034724566879567,0.7602775749962294,3,0.4365991554102145,0.9172047482843062,3,0.3996243039101114,0.9189691210536363
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4929031984381568,0.8105563988867873,4,0.4611576234502573,0.870167864699769,4,0.35503174595387266,0.7193146173431499
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3901646854107814,0.7879848631244138,5,0.28785041847587417,0.8799117823233313,5,0.7159314753709994,0.7933146013541289
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.9491646633257538,0.9862945419522549,6,5.1720031612651314e-17,,6,6.924318820322631e-18,
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7503085640273336,-0.8995495317396371,7,-0.696771645163627,-0.8271167781349034,7,-0.7630178446924021,-0.9082588278182687
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.22739854366776313,-0.8161373260072754,8,-0.3617737799682714,-0.8414678384657375,9,-0.6668281700859476,-0.7583801483676917
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8703641946300359,-0.8606035242506563,9,-0.7412151274113665,-0.8260213951712142,8,-0.8355510462446172,-0.8288291491604768
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.3723382355813612,0.8174677848727694,10,0.2673503919110244,0.8715738856110069,10,0.20032733777415007,0.8512025837685644
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8629010814653972,0.7612347366433452,11,0.7892194921264777,0.7309326406731209,11,0.8258044300609336,0.6721045485786441
