Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_역성장(<-4.6%),DirectionPearson_역성장(<-4.6%),DirectionSpearman_역성장(<-4.6%),Rank_보합(-4.6%~3.1%),DirectionPearson_보합(-4.6%~3.1%),DirectionSpearman_보합(-4.6%~3.1%),Rank_성장(>3.1%),DirectionPearson_성장(>3.1%),DirectionSpearman_성장(>3.1%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.35839427464537615,0.844291446016909,1,0.29165478842919795,0.825114911115041,1,0.47244226859666505,0.9156392013316136
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.24062595179578453,0.9225953397646237,2,0.3074996494313298,0.8635047444053107,2,0.5917358567462485,0.9028046891503025
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.34770141971339324,0.753351878784757,3,0.36275292095643497,0.8707695205051073,3,0.2293399098352804,0.882591021305233
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.424268218902562,0.6840914161557298,4,0.443183842848265,0.8149589106449454,4,0.4546720447163496,0.8690250605866713
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3640659344681632,0.8629553351243282,5,0.3123336026447521,0.7939156228422342,5,0.5726037949588872,0.7092171097125515
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.42378654008558153,0.9146298174418999,6,0.2588259144568445,0.8908267718778705,6,0.43606250639166144,0.8207070782157756
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.804491573260567,-0.7012963317622957,7,-0.6291793783595863,-0.9066770208449763,7,-0.8038003670304152,-0.9617717731574762
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,9,-0.37903957605067196,-0.8224862263488049,8,-0.6803840348470057,-0.8435595995954202,8,-0.2748852206292827,-0.7255351816116814
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,8,-0.534027816760904,-0.6627885720975731,9,-0.7346903835678243,-0.5225986782506445,9,-0.8423717010203217,-0.7972076703635077
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.47118712569528576,0.7827323354545955,10,0.3156420567896266,0.8683039971050043,10,0.22797155155944165,0.8558701870167944
