Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_비기계전자,DirectionPearson_비기계전자,DirectionSpearman_비기계전자,Rank_기계전자(HS84~85),DirectionPearson_기계전자(HS84~85),DirectionSpearman_기계전자(HS84~85)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.275324648875177,0.8612506482474517,1,0.29271049275851235,0.7696453651890843
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.2747825809376255,0.8893829994692153,2,0.3512872669325081,0.9791271687941355
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.2544587425985649,0.8351901164030179,3,0.2875233151686185,0.8304208620827352
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4587955498168111,0.8084875221495086,4,0.5296233742207952,0.874101736653286
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.334756844777666,0.8129727510581694,5,0.2866913292121078,0.8505787082665544
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.37683376978241456,0.8942814953122498,6,0.5254721063724573,0.7624928516630234
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7203298541477906,-0.8531675310524178,7,-0.902370073614823,-0.9961013496791804
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.25240049247596724,-0.8293809859878695,9,-0.8036344282124626,-0.5244226335204367
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8213557776564563,-0.8657424155456095,8,-0.9088091653159576,-0.8728715609439697
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.30629765956591487,0.8549971120983072,10,0.22618898110854063,0.7512217287717262
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8304441507292104,0.7355090157258426,11,0.8918363079576521,0.8488883074429683
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6579262489175591,0.5430232303437552,12,0.6201456497101221,0.80730111162969
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.4457966319149703,-0.5244396230179575,13,-0.3389430240044876,-0.28893858746722967
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
