Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_소수(<8개국),DirectionPearson_소수(<8개국),DirectionSpearman_소수(<8개국),Rank_중간(8~23개국),DirectionPearson_중간(8~23개국),DirectionSpearman_중간(8~23개국),Rank_다수(>23개국),DirectionPearson_다수(>23개국),DirectionSpearman_다수(>23개국)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.22994517109299542,0.8908638193943071,1,0.30378265728150255,0.8371919680981089,1,0.26624966679285117,0.837428457519596
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.3108973782145726,0.9221518859233994,2,0.39694523592721126,0.8976913716241721,2,0.19343005250119072,0.8796316843752764
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.2604921367092048,0.9087055882650693,3,0.2724610056280572,0.812858922252524,3,0.21933002810211963,0.7464974319505738
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.40176846322310233,0.8610891753379902,4,0.3531715810171735,0.8313387117836606,4,0.5333588718223239,0.528448864789615
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.35579199646777876,0.7575509012506801,5,0.4779546082239136,0.7741982577023849,5,0.3610562741358324,0.8765930385655823
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.38674488898893317,0.8658973219374341,6,0.3788171657382926,0.9154834038417204,6,0.414262431438995,0.8621711628116075
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7633042512104213,-0.9787966700457238,7,-0.7020817542386305,-0.8707905824043871,7,-0.5702594341363353,-0.5567619751208039
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2751170611579584,-0.7991878039907797,8,-0.18797515335919,-0.8121612899439977,8,-0.3214685190035951,-0.8334096630668388
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.7705182476395411,-0.80855349289364,9,-0.8889398620349246,-0.8754944291757976,9,-0.8612959438000936,-0.920220603944861
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.23928052644221515,0.8471067673411236,10,0.3398992931962307,0.7953428397459255,10,0.35711620235078584,0.853199624404289
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.829677224466678,0.7950120495711683,11,0.8463513004984213,0.7938494675464037,11,0.9270125203248964,0.7383495154957909
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6846376644590414,0.7811491576656067,12,0.7051977961989017,0.6977748466619548,13,-0.37310312457903466,-0.3831670596100584
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.2963341894697096,-0.19220314079807935,13,-0.38390158600811275,-0.5812969399602971,12,-0.5496721081777763,-0.6441291551648579
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
