Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_소(<34건),DirectionPearson_소(<34건),DirectionSpearman_소(<34건),Rank_중(34~51건),DirectionPearson_중(34~51건),DirectionSpearman_중(34~51건),Rank_다(>51건),DirectionPearson_다(>51건),DirectionSpearman_다(>51건)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.24137531412321048,0.8672010096778503,1,0.30657526010928443,0.8663818636682427,1,0.40311697034876576,0.7675343190270438
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.35095356824975427,0.8919068385196721,2,0.18859905224226514,0.8891447675784501,2,0.48182825004781343,0.9346188896757242
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.20177348500482223,0.8862188034884498,3,0.3116774137861191,0.8204980550710035,3,0.7345187451671812,0.8279875162870863
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.5567742053798306,0.8570559545428528,4,0.449853915504323,0.8134857124844713,4,0.20839006434298282,0.6040479181695998
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.36735568128610385,0.7951636702711365,5,0.33557924581322884,0.8159930860907217,5,0.5040688928339419,0.7842256333618886
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.289908175333217,0.9022651943931317,6,0.4837080730677878,0.8953733887158244,6,0.37423223953550394,0.739509972887452
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.8087358927352317,-0.9740058269000869,7,-0.7155771203898952,-0.7152983427044676,7,-0.4660483396153874,-0.8720733243243779
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.28840246418733156,-0.8211595485082863,9,-0.2524303506117727,-0.8235288022289676,9,-0.645556745339232,-0.737904206385251
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.5619250389634062,-0.4316685284810267,8,-0.8338051489501409,-0.8730916958457781,8,-0.9929203693764643,-0.9583727150068313
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2896386497344962,0.8770950095864286,10,0.3645474467334408,0.8576763358285713,10,0.7484730438006356,0.8170787532519077
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.6567737590503369,0.39374606323349765,11,0.8458740280391116,0.5180194574137971,11,0.9229226583741432,0.7384467658792818
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6488590754891495,0.6581917686868356,12,0.6649288417572858,0.5493888430371852,12,0.348537393209315,0.3615677326538455
