Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_비해당,DirectionPearson_비해당,DirectionSpearman_비해당,Rank_무역전쟁(201807~201912),DirectionPearson_무역전쟁(201807~201912),DirectionSpearman_무역전쟁(201807~201912)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.2664987176715272,0.8565211603757,1,0.9505274012351014,0.8982196964349441
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.26856693544195576,0.9046430176567404,2,0.6341943400082586,0.7142857142857144
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.25102266161139364,0.8474689348357264,3,0.8906888473526672,0.8434347122457898
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.45842408473119384,0.8186643142956641,4,0.610961116867022,0.658585559938142
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3215332440604657,0.8281861797340149,5,0.9888408753143297,0.0363696483726654
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.31766206929122376,0.8883255352033819,6,0.6696860861561003,0.7604691006293735
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7299067515213058,-0.8807499021013262,7,-0.8623164985025761,-0.9299811099505542
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2533572098908716,-0.819016777867701,9,-0.7929006904286762,-0.5773502691896257
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8185636167597787,-0.8560599433819288,8,,
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.3123993886224297,0.8657825655859258,10,0.7110482084470504,0.8451542547285167
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8334705723458306,0.7488995645615635,11,0.19625596840738524,0.1646463899845355
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.66328398620939,0.5893092939432083,12,-0.44721359549995787,-0.4472135954999579
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.4381157819979707,-0.5230776741354395,13,0.44727373441552193,0.5369248441712194
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
