Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_저율(<15%),DirectionPearson_저율(<15%),DirectionSpearman_저율(<15%),Rank_중율(15~73%),DirectionPearson_중율(15~73%),DirectionSpearman_중율(15~73%),Rank_고율(>73%),DirectionPearson_고율(>73%),DirectionSpearman_고율(>73%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.39864460759012793,0.8568785667517196,1,0.24713078985415404,0.7982253561136805,1,0.24952776990749378,0.9009307364753539
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.22599977309186298,0.8615731400366937,2,0.3378143438800276,0.9133996152247593,2,0.24206246009300014,0.9106265828640674
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.43358279480478246,0.8274944847225991,3,0.42224594177223085,0.842537899076614,3,0.2778655544488591,0.8777880012258658
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.36904481829338104,0.6990001625230696,4,0.4118344802062591,0.7991700597960494,4,0.5806013146420681,0.8713255496242958
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.33494916177191203,0.857233382117203,5,0.4204727636295957,0.8339348839758788,5,0.21508732734534994,0.7717147802562593
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.3498090379712987,0.871283908280793,6,0.29779469598121017,0.9033978838215595,6,0.4937096737042462,0.8772653758657397
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.6782739865808661,-0.7872212887717377,7,-0.693844342907308,-0.8773844358924934,7,-0.8079706352777207,-0.9398351670672587
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,9,-0.2556305485547776,-0.822705803876635,8,-0.31380166139224197,-0.8047206392953073,8,-0.18814567544316618,-0.8132705638189025
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,8,-0.9009839675382294,-0.8866137891795521,9,-0.8646209690014648,-0.8433678836658987,9,-0.755929501099858,-0.7975240078851051
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2897179126878951,0.8019618759390238,10,0.35720257681096446,0.866638345614859,11,0.2633380298109974,0.874460327556252
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8955735691450143,0.710234328545652,11,0.8928754653929766,0.8079221278944354,10,0.759942871344096,0.7115561234500667
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,13,0.5028335120564338,0.2751054303604035,12,0.5666487693853003,0.6020691857776298,12,0.7182573121634431,0.6946719530962034
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.5225555997027089,-0.605097313163571,13,-0.49475067129014555,-0.5841106402187349,13,-0.15992409224127652,-0.21514687667720078
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
