Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_초기(~2002),DirectionPearson_초기(~2002),DirectionSpearman_초기(~2002),Rank_중기(2002~2016),DirectionPearson_중기(2002~2016),DirectionSpearman_중기(2002~2016),Rank_최근(>2016),DirectionPearson_최근(>2016),DirectionSpearman_최근(>2016)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.30476744932574673,0.8170033131779507,1,0.29351697762573986,0.8854568024430581,1,0.38386602960850297,0.8210694542474938
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.32247868657871714,0.8697378924808077,2,0.23590540953281683,0.9132439737654128,2,0.26827478044940406,0.9173243435735475
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.3851461666105322,0.8235710530232333,3,0.28425506460191347,0.8695362145579587,3,0.3111002365669909,0.8599509512060206
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4680747566609088,0.7747366957071207,4,0.48323833742393235,0.8617466106097387,4,0.39689312075454364,0.7435468554580124
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3611277292352327,0.7579972205492669,5,0.35518967375746435,0.819319759884163,5,0.2258465206861184,0.8391861589593943
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.19252398656058903,0.9220918644691407,6,0.5082326378869956,0.903265017097789,6,0.38857146061043074,0.6156277608875349
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.783339882829709,-0.9252706147755444,7,-0.8687878790612795,-0.8415036570265269,7,-0.7477417805583588,-0.8999609932480986
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.5526064188541958,-0.8290220201322125,8,-0.3516688235716281,-0.8163261135777413,9,-0.63124990943033,-0.7914185117049813
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,,,9,-0.7664307826455651,-0.9329181638411658,8,,
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.3516651872759307,0.8687305684751117,10,0.3311743733932301,0.8668882949249993,10,0.6654406474456542,0.8686239855622433
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.18623869256446263,0.19104185226018316,11,0.8596724309416617,0.6056887923996525,11,0.06648582103499195,0.19239576147165524
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,13,0.5134694610426317,0.2265936351205099,12,0.844064777864118,0.7088545029241986,12,0.5794470995745911,0.7506990689541351
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.47775268340395743,-0.7083379040198152,13,-0.3973416867459881,-0.3720207781585084,13,-0.2314992452249157,-0.181658472014716
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
