Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_단기(<108개월),DirectionPearson_단기(<108개월),DirectionSpearman_단기(<108개월),Rank_중기(108~277개월),DirectionPearson_중기(108~277개월),DirectionSpearman_중기(108~277개월),Rank_장기(>277개월),DirectionPearson_장기(>277개월),DirectionSpearman_장기(>277개월)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.43939434905930386,0.8453563400122497,1,0.2975520328070167,0.8807316089657224,1,0.299740082955374,0.8139948206613113
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.2156808929131766,0.8991049869348874,2,0.2565925989723125,0.9168067973815631,2,0.32099905239493276,0.8675053794543558
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.37263769433549415,0.8825370176546246,3,0.2918919473233736,0.8723177634552713,3,0.37534372251329245,0.8265635254073254
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.44768162964029445,0.6116389809483735,4,0.43592860697854374,0.8757894257858534,4,0.46640052382854186,0.8245600059239528
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3418928035709627,0.8902891790614956,5,0.3268612124285871,0.7805157029858933,5,0.3593197744603913,0.7719891765206266
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.4156767383227417,0.7664433503534758,6,0.5070218084756525,0.9141903101268919,6,0.18700990442002002,0.9089893829636855
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7706643008484676,-0.7866570644788613,7,-0.7894094517058822,-0.8683205877710432,7,-0.8074453892145717,-0.9521579052884606
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,9,-0.19940225478055568,-0.8179471333196395,8,-0.3281419453131765,-0.8253104208900978,8,-0.5404829418479591,-0.8006969425166313
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,8,,,9,-0.7069665592616994,-0.8451132467343766,9,,
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.24491824853349925,0.8588375065348312,10,0.31728075967256425,0.8732534453458966,10,0.3502403315477254,0.8668990940549316
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.09805830563738341,0.13238607117975137,11,0.802152309216959,0.7152675454510592,11,0.07503268081919681,0.07752584243744971
