Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_비소비재,DirectionPearson_비소비재,DirectionSpearman_비소비재,Rank_소비재,DirectionPearson_소비재,DirectionSpearman_소비재
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.2658621896707212,0.8636214873243583,1,0.3783135684705346,0.4865062298556019
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.2729648526395847,0.9009250666695462,2,0.3638594202974064,0.9454545454545454
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.2519122753621868,0.8494061045451361,3,0.9301766617697125,0.9272727272727274
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.46876445895866176,0.822525786989481,4,0.3168536081223645,0.6546536707079773
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3306339047688866,0.812277393638832,5,0.3219544361065944,0.9534625892455925
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.32938595805070564,0.8927017710284805,6,8.007815062999496e-17,
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.735879069104941,-0.8824806916747221,7,-0.7020086124500349,-0.9074852129730301
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.26220621086719426,-0.8076679871233146,8,-0.8165690761077272,-0.873862897505303
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8229638079182977,-0.8604942016221182,9,-0.9337953117308561,-0.828416869579514
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.30974426641527486,0.8666208396793841,11,0.8890367215166483,0.8660254037844387
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8330594788915078,0.7430881589320468,10,0.9448267811344165,0.820412654142367
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6450795113876865,0.5655166806036461,12,0.9725607394306659,0.5009794328681195
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.4373380654577049,-0.5120433754928251,13,0.19828598428299143,0.07977240352174657
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
