Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_원화강세(<-3%),DirectionPearson_원화강세(<-3%),DirectionSpearman_원화강세(<-3%),Rank_보합(-3%~2.6%),DirectionPearson_보합(-3%~2.6%),DirectionSpearman_보합(-3%~2.6%),Rank_원화약세(>2.6%),DirectionPearson_원화약세(>2.6%),DirectionSpearman_원화약세(>2.6%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.26842371712496366,0.8829400472441628,1,0.3309339818192899,0.8540308964081827,1,0.23892989947003282,0.819949301352541
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.37883010668785405,0.8880777582181909,2,0.1888283009693134,0.9124607942935173,2,0.35184952204574993,0.8621910413544704
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.2406448868912112,0.8723988629226739,3,0.28951434758721334,0.7953735041716423,3,0.24095531996168534,0.8965177764957412
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.5538211117866434,0.8300898720378236,4,0.39590058704071424,0.668843217569092,4,0.3531974862088509,0.8971663126198406
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.48424580039922865,0.7667467646990239,5,0.3325500805688429,0.876518510997492,5,0.40142135525163664,0.778072808320689
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.2553734930869622,0.858957636853998,6,0.40511411727506796,0.8824527418821259,6,0.45578098488651586,0.9251272069976009
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7509563080833752,-0.9304423607568225,7,-0.7863122999626436,-0.66592768009831,7,-0.6182992917631417,-0.9651250395531747
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.1722116284842963,-0.8306789350445323,9,-0.29432573052081656,-0.8165415242505485,8,-0.3722150980770225,-0.7721824979098512
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.6119396793228696,-0.41820272680776543,8,-0.5028190661945269,-0.41005900504464105,9,-0.783731604310561,-0.6730982279651284
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.29833296896638706,0.880317331566688,10,0.4216979397924787,0.7983029771872893,10,0.280026658904933,0.8755595887318212
