Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_기존수입,DirectionPearson_기존수입,DirectionSpearman_기존수입,Rank_신규시작,DirectionPearson_신규시작,DirectionSpearman_신규시작
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.25667522882700294,0.8550652405470303,1,,
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.27884070515958026,0.9097588186524785,2,0.5286749164552652,0.8259180071175226
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.24187604503993504,0.8732465779121086,3,,
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.457290305220524,0.7958958476695575,4,0.570396298803764,0.9858156028368795
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3281705359719205,0.8327183260531601,5,0.7712753490157429,0.30705735296147174
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.32793037685807164,0.8752644995560074,6,0.5052173993726812,0.9749333564428649
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7369437985662578,-0.8824836360114715,7,-0.7013518536800928,-0.8901981971385244
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2598753109240997,-0.811699948046662,8,-0.8077943622142316,-0.8746086204948041
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8217749067274854,-0.8607739695375769,9,-0.9522680557059029,-0.8911327886790068
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2952508068691081,0.8689166113914158,10,,
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8401472699887577,0.7533458993620773,12,0.9471488203677599,0.8846517369293827
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6612492275814082,0.55821187373464,11,0.5722265863726965,0.6565470910889313
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.4338202688890902,-0.4758082902977764,13,-0.5016332857544994,-0.6500270850261592
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
