Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,"Rank_저소득(<$5,238)","DirectionPearson_저소득(<$5,238)","DirectionSpearman_저소득(<$5,238)","Rank_중소득($5,238~$30,985)","DirectionPearson_중소득($5,238~$30,985)","DirectionSpearman_중소득($5,238~$30,985)","Rank_고소득(>$30,985)","DirectionPearson_고소득(>$30,985)","DirectionSpearman_고소득(>$30,985)"
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.2903056302861162,0.8734552562096323,1,0.2708907215482196,0.848986881248036,1,0.4400499785740516,0.8578937213525507
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.3726180268860505,0.9121431668401959,2,0.2728196060690984,0.9235321928242485,2,0.28254921414630363,0.8561037201907241
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.3232173749069265,0.852701458690624,3,0.20347673535745314,0.8870667557981841,3,0.39724025786269057,0.8258463133023523
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.5021841314941904,0.8680213049027317,4,0.42896088596058385,0.6834687616759775,4,0.4357757480458268,0.8182684549954867
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.29578124394877015,0.7655739902048508,5,0.2681950134195252,0.8496685116461744,5,0.3947325338915766,0.8344396627341734
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.34217975167561926,0.8934345432620314,6,0.3585108251627412,0.8179016054784748,6,0.40001603588991863,0.9246634557279341
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.6909184091433093,-0.9206367683323327,7,-0.7777118291429984,-0.8704467029413808,7,-0.7326765017002497,-0.850908174058539
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2368147073097898,-0.7720897412044139,9,-0.19175258465048076,-0.7979143900069914,8,-0.3008291915192181,-0.850110866560588
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8419005291419258,-0.7628323863375361,8,-0.7807468658852051,-0.8677548892334257,9,-0.8515704486058522,-0.8751472196527622
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.31680328176899275,0.8738420655365408,10,0.2597044541339278,0.8733493136246165,10,0.3850743421642909,0.8315960935865255
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.81958478361828,0.5977744014840574,11,0.7874530312642449,0.7138475379372773,11,0.8875489880956405,0.7560340860031538
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.5623676155066235,0.4928679919218232,12,0.7426480392560268,0.686807425264677,13,0.5692482783886179,0.48710281924738774
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.4965453757935106,-0.5782448557407779,13,-0.5867734556031722,-0.41156337332265386,12,-0.6389560222219655,-0.5016845130072606
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
