Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_저성장(<1.8%),DirectionPearson_저성장(<1.8%),DirectionSpearman_저성장(<1.8%),Rank_중성장(1.8~6.5%),DirectionPearson_중성장(1.8~6.5%),DirectionSpearman_중성장(1.8~6.5%),Rank_고성장(>6.5%),DirectionPearson_고성장(>6.5%),DirectionSpearman_고성장(>6.5%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.28524518018041334,0.8201886428706907,1,0.48745529126419357,0.8349799059949768,1,0.24930695217422846,0.8697268782553385
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.22235149576768884,0.8738661198740251,2,0.35300974296121423,0.856829151580202,2,0.6761988268670653,0.9309116823468726
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.42463056191362875,0.8613124985048338,3,0.5309991411638396,0.7761126970868333,3,0.296679741381054,0.8942655065430526
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4823888714969977,0.6648316497052205,4,0.3763646707383566,0.8086697877679496,4,0.4777278349198924,0.874560060975589
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.28227358304634964,0.8722662471778797,5,0.4543386353891168,0.7851569705538824,5,0.24526123250322435,0.811402089491089
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.32506735209562027,0.8776399569652892,6,0.42853045130041506,0.9096000789167957,6,0.4850679314836252,0.8561467821419921
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.683864250635017,-0.8345894460169572,7,-0.6913428345894727,-0.8634253641393212,7,-0.8521490194477922,-0.9366240140608928
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.17584078859352179,-0.8367832991472901,8,-0.3020813346133777,-0.8370650128282244,9,-0.24662757139458083,-0.7294499400508988
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.9253652819515941,-0.8871160946473312,9,-0.8408895787440377,-0.8472844943148562,8,-0.7545972168914263,-0.831634995936959
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.30644955499336124,0.8461437213052583,10,0.3610500502499686,0.8231719048739964,11,0.2497725339926392,0.8492794115084947
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.9212131348680672,0.8226980978961093,11,0.8889390675108336,0.7811179967727108,10,0.7673271815434632,0.7468204225003924
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,13,0.49480081611087623,0.41200993645292566,12,0.5725418402502016,0.41671869480687984,12,0.7126665814618905,0.7425648345409858
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.38113034451149375,-0.7130479019648851,13,-0.41181504941266517,-0.3189028668063748,13,-0.4302256854821124,-0.16264440643311182
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
