Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_강세(<-0.9%),DirectionPearson_강세(<-0.9%),DirectionSpearman_강세(<-0.9%),Rank_보합(-0.9%~4.7%),DirectionPearson_보합(-0.9%~4.7%),DirectionSpearman_보합(-0.9%~4.7%),Rank_약세(>4.7%),DirectionPearson_약세(>4.7%),DirectionSpearman_약세(>4.7%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.2253369341284475,0.86957701175299,1,0.4177031839194761,0.8583388575145801,1,0.3223048062006158,0.8382860951589801
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.2648357547038672,0.8778047016015331,2,0.24142059215042777,0.8994853016171597,2,0.32245562736460553,0.9143750040134787
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.19064846628123783,0.9004363340778445,3,0.29916872924860916,0.8401739743244129,3,0.29343926697145084,0.7707729213126174
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.5890812013701672,0.7887273951827645,4,0.37591344923732506,0.8438227928755527,4,0.39702733596425294,0.8118851228092228
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3077205155971992,0.751280502762493,5,0.3113509920220326,0.849131287987502,5,0.3804941170132218,0.845971358553221
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.296451783049757,0.8831600301577602,6,0.35459537014213643,0.8513414668501235,6,0.37810243110395686,0.9165645241860736
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7011638033043489,-0.9242490045213089,7,-0.7270503394607887,-0.8782899467891189,7,-0.7876901483405503,-0.8134570732110848
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.24789503530144247,-0.8173298492892415,9,-0.20174226682830693,-0.7853141750523807,8,-0.29822694694801904,-0.8366102742058698
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.7989962832962643,-0.7277965920228757,8,-0.85887292634845,-0.8735043476069977,9,-0.7831487197888451,-0.8943191753354168
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.6504141612312976,0.8719492050755236,10,0.3417937661088297,0.8587961662900573,10,0.40742579862212863,0.8639086848228715
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.7221704017431485,0.569647959347767,11,0.8775940303506912,0.6763561471756456,11,0.9221905710713079,0.6885743535310775
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,13,0.6727972214284964,0.7643729203421459,12,0.6594308366045322,0.49120573667015066,12,0.4119972567124649,0.16050329302220465
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.307354752387768,-0.7434144488874431,13,0.17652923067289877,0.13896708751410888,13,-0.12256339438679222,-0.04692398110184497
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
