Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_저일치(<33.5%),DirectionPearson_저일치(<33.5%),DirectionSpearman_저일치(<33.5%),Rank_중일치(33.5~55.5%),DirectionPearson_중일치(33.5~55.5%),DirectionSpearman_중일치(33.5~55.5%),Rank_고일치(>55.5%),DirectionPearson_고일치(>55.5%),DirectionSpearman_고일치(>55.5%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.2361097223121889,0.8464278804065176,1,0.34017281942178434,0.8308689961307302,1,0.4207740543533952,0.8662192223336089
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.272102537264717,0.9103927283935862,2,0.618520269485803,0.8985587062492343,2,0.3010971112220874,0.8637754358113576
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.2583321835103834,0.9026699756197939,3,0.27538002400608846,0.7666245520960845,3,0.3892346330607255,0.8031660200112535
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.49618584258734155,0.8144564295424792,4,0.4566365758361848,0.7406288350984113,4,0.3965086608684642,0.8133428846297079
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3425047907175582,0.6987003531489048,5,0.2581086241154162,0.8296356382309186,5,0.38434182726297234,0.8825517142675109
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.3840448270964994,0.8796266057574835,6,0.30777675613618233,0.8614381808841581,6,0.32014163023083125,0.9075558622860845
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7457780150545151,-0.9509547170220796,7,-0.679267866434304,-0.7872833980103271,7,-0.7499593993025078,-0.8582194614799804
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.28219609797863837,-0.7760189005405962,8,-0.4388805321227761,-0.8205873988620862,8,-0.31664976640689574,-0.8363268508292162
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8092304405246076,-0.7851205196419234,9,-0.8353637832881351,-0.8936359756005602,9,-0.873650871085206,-0.8903029159166177
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2564002549076561,0.8720383444748804,10,0.3127899205845443,0.8488401770188525,10,0.37856225508381675,0.8489607418795638
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.7868315876747858,0.6587507831417604,11,0.8490942752768186,0.7150084792630004,11,0.9131758955484329,0.7612379570017829
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.7063104249540784,0.7347116654827094,12,0.6338669324911957,0.44364928807492243,13,0.45059247783630213,0.38190380337060564
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.6236968200068101,-0.4722389323178685,13,-0.1761586039133509,-0.29848920455800565,12,-0.6708013886971573,-0.6554802049386907
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
