Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_적자,DirectionPearson_적자,DirectionSpearman_적자,Rank_균형,DirectionPearson_균형,DirectionSpearman_균형,Rank_흑자,DirectionPearson_흑자,DirectionSpearman_흑자
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.3200702321151851,0.7550722139191985,1,0.47273804524521756,0.8732304539490543,1,0.20986489255334256,0.8964297331324597
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.286276181751039,0.9221550060207577,2,0.2851055026143124,0.8852065065213758,2,0.2566843642067317,0.8743887004238691
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.5559517338318878,0.7169572260764194,3,0.28591423546958944,0.8245687104915204,3,0.18987688911128534,0.9104359136240198
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.32396935912283004,0.819574064319987,4,0.4539925719245342,0.8262627621436508,4,0.6226897360274318,0.8185050666792463
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.324440024238752,0.8210503819773272,5,0.34047233325412746,0.7995461521645854,5,0.3025824248941569,0.8016732478573999
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.33104271773894656,0.8646944742693,6,0.34650579647047114,0.8744656517177658,6,0.4387359504411598,0.9110593423254744
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.6649349336417699,-0.7569898994472573,7,-0.6853686986947256,-0.9112235101196946,7,-0.8387084578144934,-0.9329232255018903
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.24460665121385144,-0.8574945012029035,8,-0.21985210604364258,-0.7544355894437499,8,-0.28137701173796625,-0.7947424817897925
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8539975340878582,-0.8830501487321065,9,-0.8622683229889291,-0.753901127176839,9,-0.7762720061165791,-0.8567207005870422
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.459723402445016,0.8039734581191444,10,0.3559513656009748,0.8510814182550906,10,0.21520471627106674,0.842477706930924
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.9033114125195509,0.6556312184156984,11,0.8573710779012514,0.6323663381330644,11,0.7892365217683476,0.7613971595782877
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.5827010280187592,0.413854104755266,12,0.5155354287392548,0.3220227918802259,12,0.7641175033947859,0.8199211106759429
