Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_없음(0),DirectionPearson_없음(0),DirectionSpearman_없음(0),Rank_저(0~14.5%),DirectionPearson_저(0~14.5%),DirectionSpearman_저(0~14.5%),Rank_고(>14.5%),DirectionPearson_고(>14.5%),DirectionSpearman_고(>14.5%)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.3971502463742405,0.7987634209378287,1,0.2232825508306165,0.725523417125464,1,0.5481662120002555,0.9149330220307402
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.21431757568310164,0.8843118199281433,2,0.293531168995784,0.9027522761818112,2,0.3727290039938313,0.9191050577376991
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.527180763914919,0.6743222652429138,3,0.3018217435131612,0.8810641381973121,3,0.5692248559273823,0.9360589880487414
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.3358013437004715,0.20563226991494643,4,0.3551727351377428,0.9150180062073093,4,0.5273730611156395,0.879486068204081
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3409954311572415,0.8320439908633516,5,0.3092101470534085,0.8069029718639351,5,0.35718171260786363,0.8334552349979026
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.39768115774914103,0.9193987442532129,6,0.38023705808128194,0.8452271021781401,6,0.26611967168383294,0.8724643430254019
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.6117145678622753,-0.7275942944816134,7,-0.7555625475736503,-0.8956216001519618,7,-0.8864582688616087,-0.9804552111754571
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,9,-0.29246220582325816,-0.816113849418475,8,-0.2615828630578372,-0.8271343385538757,8,-0.4561827622816514,-0.7763908376496339
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,8,-0.9173346415649881,-0.8921321650082459,9,-0.8158677113962925,-0.8530520237155427,9,-0.6787511488754274,-0.7022094063576171
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.7569594712545824,0.8227252013518431,11,0.38257389938478154,0.8609864977279267,11,0.27666678076399986,0.7904746903591447
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.8673887032399986,0.8054955154546648,10,0.8718364999687468,0.746649349787534,10,0.7570029549608622,0.7407139503560689
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,13,0.5055310796870491,0.20520127200869312,12,0.6072289058267264,0.5516278637415025,12,0.7222070068164675,0.8223756557363151
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.5419031736560549,-0.6352339113374388,13,-0.5213190454250153,-0.28732915497314354,13,-0.2109400544368385,-0.526246825736796
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,,14,,
