Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_0,DirectionPearson_0,DirectionSpearman_0,Rank_1,DirectionPearson_1,DirectionSpearman_1
수입중량급증률_12m,1,0.26567821285642457,0.8607191657531381,1,0.293641271414488,0.8363252852957895,1,0.2276793837286986,0.8781076027532123
수출중량급증률_12m,2,0.2734952407687288,0.9016749954474673,2,0.2761699091036932,0.892495609634779,2,0.2532773407124343,0.9130216639598164
수입중량급증률_6m,3,0.24786202024274148,0.8547740658030037,3,0.430099236545003,0.7944534791262102,3,0.2886123083240696,0.8990437515963825
조치대상국비중_변화,4,0.4635678187617684,0.8160234607367733,4,0.40272700910771275,0.7556357724038001,4,0.5620497573680446,0.8191965281628183
수출중량급증률_6m,5,0.33019733398629303,0.8169800911433095,5,0.33137690916993423,0.8436253746842991,5,0.31635204195726707,0.7363327028684463
글로벌_HS6_무역규모,6,0.33560389342057767,0.8846132858513719,6,0.32793901853744917,0.8874135188885344,6,0.527318090263238,0.8761495516233606
HS6최초조치후경과년,7,-0.7347392160058343,-0.8827751694091527,7,-0.6796584746942834,-0.8234892999058055,7,-0.8710504991661653,-0.9729283406535892
수출중량급증률_3m,8,-0.25273916155707427,-0.8132431773605798,8,-0.24429219688894963,-0.8354284628062538,8,-0.2793102735121638,-0.7099100912865316
조치연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8686969315818548,-0.8790544109811503,9,-0.7584923509431591,-0.7842988034729966
수입중량급증률_3m,10,0.3028964095675096,0.866843755380729,10,0.33302686479578814,0.8272772780781386,11,0.2184106632320005,0.8095218853641113
조치후경과월수,11,0.8369688856453172,0.7501253274015679,11,0.8985009261584807,0.7787696900916344,10,0.7547431405908143,0.7297537264816112
글로벌무역성장률,12,0.6539686154109272,0.5604278030861529,13,0.5202099792815092,0.37525446496199377,12,0.7295454707770578,0.7649018560539356
조치대상국_원화환율_변화율,13,-0.43771376237666476,-0.49857708398879674,12,-0.45496467331574636,-0.5579333069978661,13,-0.5161165179081795,-0.20837961448764108
미국_전체AD조치건수,14,,,14,,,14,,
미국_GDP성장률,14,,,14,,,14,,
발틱운임지수,14,,,14,,,14,,
중국_GDP성장률,14,,,14,,,14,,
조치대상국_GDP성장률,14,,,14,,,14,,
조치대상국_1인당GDP,14,,,14,,,14,,
원달러환율_변화율,14,,,14,,,14,,
유가,14,,,14,,,14,,
조치대상국_대미무역수지,14,,,14,,,14,,
한국_수출증가율,14,,,14,,,14,,
한중FTA더미,14,,,14,,,14,,
대미거리,14,,,14,,,14,,
대한거리,14,,,14,,,14,,
농산물더미,14,,,14,,,14,,
한국_GDP성장률,14,,,14,,,14,,
한국_제조업생산지수,14,,,14,,,14,,
소비재더미,14,,,14,,,14,,
조치국_수입의존도,14,,,14,,,14,,
한미FTA더미,14,,,14,,,14,,
조치대상국비중_후,14,,,14,,,14,,
기계전자더미,14,,,14,,,14,,
코로나더미,14,,,14,,,14,,
수입활성월수_전_3m,14,,,14,,,14,,
수입활성월수_후_3m,14,,,14,,,14,,
수입활성월수_전_6m,14,,,14,,,14,,
수입활성월수_후_6m,14,,,14,,,14,,
수입활성월수_전_12m,14,,,14,,,14,,
수입활성월수_후_12m,14,,,14,,,14,,
수입신규시작,14,,,14,,,14,,
수출활성월수_전_3m,14,,,14,,,14,,
수출활성월수_후_3m,14,,,14,,,14,,
수출활성월수_전_6m,14,,,14,,,14,,
조치대상국비중_전,14,,,14,,,14,,
수출활성월수_후_6m,14,,,14,,,14,,
수출활성월수_후_12m,14,,,14,,,14,,
수출신규시작,14,,,14,,,14,,
반덤핑관세율,14,,,14,,,14,,
동일품목조치국수,14,,,14,,,14,,
조사기간_월,14,,,14,,,14,,
중국여부,14,,,14,,,14,,
HS챕터,14,,,14,,,14,,
철강더미,14,,,14,,,14,,
화학더미,14,,,14,,,14,,
미중무역전쟁더미,14,,,14,,,14,,
수출활성월수_전_12m,14,,,14,,,14,,
조치대상국_UN투표일치율,14,,,14,,,14,,
