Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_비철강,DirectionPearson_비철강,DirectionSpearman_비철강,Rank_철강(HS72~73),DirectionPearson_철강(HS72~73),DirectionSpearman_철강(HS72~73)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.32583871959337446,0.8296500714343166,1,0.3045780457163226,0.8425458577946134
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.3022086376121094,0.9323537464061054,2,0.2673437406688162,0.8891076414770804
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.23127789458955775,0.9102036959511819,3,0.26130997244761045,0.756643773147563
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4662402452897081,0.8900118559174288,4,0.4242214245519224,0.7122305455666879
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3121922851316445,0.8244734518193272,5,0.3434328265204475,0.8045670348473128
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.39295931751344493,0.8026401824631563,6,0.3942777366097372,0.9153726078997753
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7368059462182841,-0.9800625419489144,7,-0.6722715285586865,-0.7609117402989691
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2819875250120317,-0.78015577523608,8,-0.25355832456150684,-0.8305752893299807
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8205388837145943,-0.8535614188645584,9,-0.8574935409403392,-0.8838402213371399
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,11,0.22404544831056158,0.834922037631064,10,0.33600203982983723,0.8204532676249365
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,10,0.8606815385555479,0.8089538475115933,11,0.8553804390717981,0.7459433417741929
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6720690421493944,0.7676484221359648,13,0.5989889888821391,0.3485749246879745
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.25182278959359544,-0.1669430110927532,12,-0.46565262916206873,-0.608636222097957
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
