Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_0,DirectionPearson_0,DirectionSpearman_0,Rank_1,DirectionPearson_1,DirectionSpearman_1
수입중량급증률_12m,1,0.26567821285642457,0.8607191657531381,1,0.32583871959337446,0.8296500714343166,1,0.3045780457163226,0.8425458577946134
수출중량급증률_12m,2,0.2734952407687288,0.9016749954474673,2,0.3022086376121094,0.9323537464061054,2,0.2673437406688162,0.8891076414770804
수입중량급증률_6m,3,0.24786202024274148,0.8547740658030037,3,0.23127789458955775,0.9102036959511819,3,0.26130997244761045,0.756643773147563
조치대상국비중_변화,4,0.4635678187617684,0.8160234607367733,4,0.4662402452897081,0.8900118559174288,4,0.4242214245519224,0.7122305455666879
수출중량급증률_6m,5,0.33019733398629303,0.8169800911433095,5,0.3121922851316445,0.8244734518193272,5,0.3434328265204475,0.8045670348473128
글로벌_HS6_무역규모,6,0.33560389342057767,0.8846132858513719,6,0.39295931751344493,0.8026401824631563,6,0.3942777366097372,0.9153726078997753
HS6최초조치후경과년,7,-0.7347392160058343,-0.8827751694091527,7,-0.7368059462182841,-0.9800625419489144,7,-0.6722715285586865,-0.7609117402989691
수출중량급증률_3m,8,-0.25273916155707427,-0.8132431773605798,8,-0.2819875250120317,-0.78015577523608,8,-0.25355832456150684,-0.8305752893299807
조치연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.8205388837145943,-0.8535614188645584,9,-0.8574935409403392,-0.8838402213371399
수입중량급증률_3m,10,0.3028964095675096,0.866843755380729,11,0.22404544831056158,0.834922037631064,10,0.33600203982983723,0.8204532676249365
조치후경과월수,11,0.8369688856453172,0.7501253274015679,10,0.8606815385555479,0.8089538475115933,11,0.8553804390717981,0.7459433417741929
글로벌무역성장률,12,0.6539686154109272,0.5604278030861529,12,0.6720690421493944,0.7676484221359648,13,0.5989889888821391,0.3485749246879745
조치대상국_원화환율_변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.25182278959359544,-0.1669430110927532,12,-0.46565262916206873,-0.608636222097957
미국_전체AD조치건수,14,,,14,,,14,,
미국_GDP성장률,14,,,14,,,14,,
발틱운임지수,14,,,14,,,14,,
중국_GDP성장률,14,,,14,,,14,,
조치대상국_GDP성장률,14,,,14,,,14,,
조치대상국_1인당GDP,14,,,14,,,14,,
원달러환율_변화율,14,,,14,,,14,,
유가,14,,,14,,,14,,
조치대상국_대미무역수지,14,,,14,,,14,,
한국_수출증가율,14,,,14,,,14,,
한중FTA더미,14,,,14,,,14,,
대미거리,14,,,14,,,14,,
대한거리,14,,,14,,,14,,
농산물더미,14,,,14,,,14,,
한국_GDP성장률,14,,,14,,,14,,
한국_제조업생산지수,14,,,14,,,14,,
소비재더미,14,,,14,,,14,,
조치국_수입의존도,14,,,14,,,14,,
한미FTA더미,14,,,14,,,14,,
조치대상국비중_후,14,,,14,,,14,,
기계전자더미,14,,,14,,,14,,
코로나더미,14,,,14,,,14,,
수입활성월수_전_3m,14,,,14,,,14,,
수입활성월수_후_3m,14,,,14,,,14,,
수입활성월수_전_6m,14,,,14,,,14,,
수입활성월수_후_6m,14,,,14,,,14,,
수입활성월수_전_12m,14,,,14,,,14,,
수입활성월수_후_12m,14,,,14,,,14,,
수입신규시작,14,,,14,,,14,,
수출활성월수_전_3m,14,,,14,,,14,,
수출활성월수_후_3m,14,,,14,,,14,,
수출활성월수_전_6m,14,,,14,,,14,,
조치대상국비중_전,14,,,14,,,14,,
수출활성월수_후_6m,14,,,14,,,14,,
수출활성월수_후_12m,14,,,14,,,14,,
수출신규시작,14,,,14,,,14,,
반덤핑관세율,14,,,14,,,14,,
동일품목조치국수,14,,,14,,,14,,
조사기간_월,14,,,14,,,14,,
중국여부,14,,,14,,,14,,
HS챕터,14,,,14,,,14,,
철강더미,14,,,14,,,14,,
화학더미,14,,,14,,,14,,
미중무역전쟁더미,14,,,14,,,14,,
수출활성월수_전_12m,14,,,14,,,14,,
조치대상국_UN투표일치율,14,,,14,,,14,,
