Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_0,DirectionPearson_0,DirectionSpearman_0,Rank_1,DirectionPearson_1,DirectionSpearman_1
수입중량급증률_12m,1,0.26567821285642457,0.8607191657531381,1,0.2674656014334966,0.8627062822481671,1,0.44004051065643807,0.8261662012417371
수출중량급증률_12m,2,0.2734952407687288,0.9016749954474673,2,0.28026435743205785,0.8890118528362633,2,0.4344213187563854,0.8835709974914332
수입중량급증률_6m,3,0.24786202024274148,0.8547740658030037,3,0.25619319345987795,0.8572852726753063,3,0.7700316391667786,0.8743447539134739
조치대상국비중_변화,4,0.4635678187617684,0.8160234607367733,4,0.47096845966787626,0.8353457306530122,4,0.3170500593947987,0.45857219882856143
수출중량급증률_6m,5,0.33019733398629303,0.8169800911433095,5,0.3502641781647138,0.7896590766056452,5,0.5656880047241309,0.6350698264814465
글로벌_HS6_무역규모,6,0.33560389342057767,0.8846132858513719,6,0.32497212071207265,0.9020505094232645,6,7.504850750815121e-18,
HS6최초조치후경과년,7,-0.7347392160058343,-0.8827751694091527,7,-0.7411083031817595,-0.8802680634923898,7,-0.6489543433816986,-0.9137779049868449
수출중량급증률_3m,8,-0.25273916155707427,-0.8132431773605798,8,-0.26321861895579735,-0.8138434916207612,9,-0.8655198383974853,-0.8341060116016317
조치연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.805024847672878,-0.8477387158118795,8,,
수입중량급증률_3m,10,0.3028964095675096,0.866843755380729,10,0.3113681587578749,0.865919886486468,10,0.6975731301946515,0.873862897505303
조치후경과월수,11,0.8369688856453172,0.7501253274015679,11,0.8244458941383712,0.734422828975686,11,0.23373674750211437,0.39269021820849515
글로벌무역성장률,12,0.6539686154109272,0.5604278030861529,12,0.6480545840480418,0.5429562396502017,12,0.9602507150331593,0.9078412990032038
조치대상국_원화환율_변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.43710545902768805,-0.5180600799847113,13,0.005425206308993422,-0.15776717617974023
미국_전체AD조치건수,14,,,14,,,14,,
미국_GDP성장률,14,,,14,,,14,,
발틱운임지수,14,,,14,,,14,,
중국_GDP성장률,14,,,14,,,14,,
조치대상국_GDP성장률,14,,,14,,,14,,
조치대상국_1인당GDP,14,,,14,,,14,,
원달러환율_변화율,14,,,14,,,14,,
유가,14,,,14,,,14,,
조치대상국_대미무역수지,14,,,14,,,14,,
한국_수출증가율,14,,,14,,,14,,
한중FTA더미,14,,,14,,,14,,
대미거리,14,,,14,,,14,,
대한거리,14,,,14,,,14,,
농산물더미,14,,,14,,,14,,
한국_GDP성장률,14,,,14,,,14,,
한국_제조업생산지수,14,,,14,,,14,,
소비재더미,14,,,14,,,14,,
조치국_수입의존도,14,,,14,,,14,,
한미FTA더미,14,,,14,,,14,,
조치대상국비중_후,14,,,14,,,14,,
기계전자더미,14,,,14,,,14,,
코로나더미,14,,,14,,,14,,
수입활성월수_전_3m,14,,,14,,,14,,
수입활성월수_후_3m,14,,,14,,,14,,
수입활성월수_전_6m,14,,,14,,,14,,
수입활성월수_후_6m,14,,,14,,,14,,
수입활성월수_전_12m,14,,,14,,,14,,
수입활성월수_후_12m,14,,,14,,,14,,
수입신규시작,14,,,14,,,14,,
수출활성월수_전_3m,14,,,14,,,14,,
수출활성월수_후_3m,14,,,14,,,14,,
수출활성월수_전_6m,14,,,14,,,14,,
조치대상국비중_전,14,,,14,,,14,,
수출활성월수_후_6m,14,,,14,,,14,,
수출활성월수_후_12m,14,,,14,,,14,,
수출신규시작,14,,,14,,,14,,
반덤핑관세율,14,,,14,,,14,,
동일품목조치국수,14,,,14,,,14,,
조사기간_월,14,,,14,,,14,,
중국여부,14,,,14,,,14,,
HS챕터,14,,,14,,,14,,
철강더미,14,,,14,,,14,,
화학더미,14,,,14,,,14,,
미중무역전쟁더미,14,,,14,,,14,,
수출활성월수_전_12m,14,,,14,,,14,,
조치대상국_UN투표일치율,14,,,14,,,14,,
