Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_FTA이전,DirectionPearson_FTA이전,DirectionSpearman_FTA이전,Rank_FTA이후(≥201203),DirectionPearson_FTA이후(≥201203),DirectionSpearman_FTA이후(≥201203)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.22904582375004898,0.8709729674861462,1,0.2977560397148132,0.8452850335386927
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.30616614450709784,0.8915477771368817,2,0.242123509964098,0.9124024833862754
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.24812970978499063,0.880583750703439,3,0.24329898126032623,0.8304735080033736
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.49765844178797525,0.8368223262702275,4,0.41738676368303973,0.7743522947935654
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.32935677338424074,0.7410602268644455,5,0.3511928215023267,0.8680833994188374
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.2484181979556931,0.9047522369984724,6,0.41452868731197545,0.8602987690414312
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7543485509423111,-0.9556837414978436,7,-0.782807762752534,-0.7341767270800734
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.18432853515041187,-0.7907136233158731,9,-0.29087095810384844,-0.8342766738613272
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,,,8,-0.5324605837682318,-0.6772072911106428
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.30181568659864405,0.8839534760373315,10,0.3346197357087122,0.8386997347263182
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.022979359917351283,-0.07917646383491084,11,-0.0781664829534007,-0.1339222852897401
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6867195423960173,0.7235320216939934,12,0.6034646303430155,0.256480249612914
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.42474602812518125,-0.6570785386191174,13,-0.473578541311687,-0.21699627914675373
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
