Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_FTA이전,DirectionPearson_FTA이전,DirectionSpearman_FTA이전,Rank_FTA이후(≥201512),DirectionPearson_FTA이후(≥201512),DirectionSpearman_FTA이후(≥201512)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.23346820732307225,0.8544871126026008,1,0.32305125904345056,0.8529847692108016
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.31604582199369285,0.8951410286745954,2,0.21714422637229563,0.9075883482569408
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.23143995298218115,0.8829547887282683,3,0.27401474018263144,0.802421972870237
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.4832232251372644,0.8666608714443244,4,0.39818502805007483,0.6910064149649319
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.3188255808060309,0.7685222633797256,5,0.33964416038166234,0.8647647279530419
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.2748117549628164,0.8954877776115698,6,0.4239485217310439,0.8676796875129265
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,-0.7443647546050395,-0.9446465616637594,7,-0.7738651485208968,-0.717754613180702
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.2360982357769287,-0.8268864516693348,9,-0.29347321256601183,-0.7975516552326559
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,,,8,,
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2945666486517941,0.8809278192047495,10,0.36716278785720036,0.8301326669471674
반덤핑 조치 시행 이후 경과 월수,11,0.8369688856453172,0.7501253274015679,11,0.623590021207397,0.336736478220442,11,0.05487811187849149,0.022040201746707955
글로벌 무역 성장률,12,0.6539686154109272,0.5604278030861529,12,0.6746820938135617,0.6681750951626749,12,0.6328747223798451,0.32551144981476704
조치대상국 통화의 원화 환율 변화율,13,-0.43771376237666476,-0.49857708398879674,13,-0.43121332201459417,-0.5936975496190758,13,-0.4766221259662304,-0.2775466713318126
미국의 연간 반덤핑 조치 건수,14,,,14,,,14,,
미국 GDP 성장률,14,,,14,,,14,,
발틱 운임지수 BDI,14,,,14,,,14,,
중국 GDP 성장률,14,,,14,,,14,,
조치대상국 GDP 성장률,14,,,14,,,14,,
조치대상국 1인당 GDP,14,,,14,,,14,,
원·달러 환율 변화율,14,,,14,,,14,,
브렌트 원유 가격,14,,,14,,,14,,
조치대상국의 대미 무역수지,14,,,14,,,14,,
한국 수출 증가율,14,,,14,,,14,,
한중 FTA 발효 여부,14,,,14,,,14,,
조치대상국-미국 간 인구가중 거리,14,,,14,,,14,,
조치대상국-한국 간 인구가중 거리,14,,,14,,,14,,
농산물 품목 여부,14,,,14,,,14,,
한국 GDP 성장률,14,,,14,,,14,,
한국 제조업 생산 증가율,14,,,14,,,14,,
소비재 품목 여부,14,,,14,,,14,,
조치대상국발 한국 HS6 수입 집중도,14,,,14,,,14,,
한미 FTA 발효 여부,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 후,14,,,14,,,14,,
기계·전자 품목 여부,14,,,14,,,14,,
코로나 팬데믹 기간 여부,14,,,14,,,14,,
수입 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수입 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
수입 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수입 신규 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 3개월,14,,,14,,,14,,
수출 발생 월수 - 조치 전 6개월,14,,,14,,,14,,
조치대상국의 한국 HS6 수입 비중 조치 전,14,,,14,,,14,,
수출 발생 월수 - 조치 후 6개월,14,,,14,,,14,,
수출 발생 월수 - 조치 후 12개월,14,,,14,,,14,,
조치 기간 내 수출 신규 여부,14,,,14,,,14,,
반덤핑 관세율,14,,,14,,,14,,
동일 HS6에 대한 미국 AD 조치 대상국 수,14,,,14,,,14,,
반덤핑 조사 소요 기간,14,,,14,,,14,,
조치대상국 중국 여부,14,,,14,,,14,,
HS 챕터,14,,,14,,,14,,
철강 품목 여부,14,,,14,,,14,,
화학 품목 여부,14,,,14,,,14,,
미중 무역전쟁 기간 여부,14,,,14,,,14,,
수출 발생 월수 - 조치 전 12개월,14,,,14,,,14,,
조치대상국의 대미 UN 투표 일치율,14,,,14,,,14,,
