Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_신규(0년),DirectionPearson_신규(0년),DirectionSpearman_신규(0년),Rank_중기(0~14년),DirectionPearson_중기(0~14년),DirectionSpearman_중기(0~14년),Rank_장기(>14년),DirectionPearson_장기(>14년),DirectionSpearman_장기(>14년)
수입 중량 급증률 12개월,1,0.26567821285642457,0.8607191657531381,1,0.22863437440133583,0.8726283758193445,1,0.5116172496063663,0.8351428611135568,1,0.30025619489038197,0.8527890603455672
수출 중량 급증률 12개월,2,0.2734952407687288,0.9016749954474673,2,0.31928004366600915,0.8977094050155043,2,0.4542565750029409,0.8617445934562032,2,0.19043536230335106,0.8861408086548835
수입 중량 급증률 6개월,3,0.24786202024274148,0.8547740658030037,3,0.243214073540898,0.8906699976333304,3,0.5595048889029574,0.8255949350099446,3,0.2593309018396484,0.7869525312245789
조치대상국의 한국 HS6 수입 비중 변화,4,0.4635678187617684,0.8160234607367733,4,0.5100447408170552,0.8726238851538133,4,0.33459125700110504,0.673095470994076,4,0.439134590651567,0.7006830196791625
수출 중량 급증률 6개월,5,0.33019733398629303,0.8169800911433095,5,0.31835044673898627,0.864156539802738,5,0.6149580623918746,0.5322016094962205,5,0.3443377305848815,0.8560298348623687
글로벌 HS6 수출 규모,6,0.33560389342057767,0.8846132858513719,6,0.3891346266147659,0.9255256189917654,6,0.2829561678766348,0.8559684926390481,6,0.42982407724769456,0.8410318527219719
해당 HS6 최초 AD 조치 이후 경과 연수,7,-0.7347392160058343,-0.8827751694091527,7,,,7,,,7,,
수출 중량 급증률 3개월,8,-0.25273916155707427,-0.8132431773605798,8,-0.25344992362403107,-0.8138233960164106,8,-0.6532694984545754,-0.7861544490168546,9,-0.34816634399391044,-0.8345291334978644
반덤핑 조치 부과 연도,9,-0.8282545216637541,-0.8628716836908049,9,-0.7956924785028725,-0.7143739608026367,9,-0.8405555452894474,-0.7503571178691272,8,-0.7101537149669875,-0.7660137989230885
수입 중량 급증률 3개월,10,0.3028964095675096,0.866843755380729,10,0.2714256835812551,0.874896619761215,10,0.2913578650623396,0.8267236349718605,10,0.37229265899429803,0.8441779879742204
