Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,2191,25,2038,50,78,0.3333333333333333,0.2427184466019417,0.9760536398467432,0.2808988764044944,0.9415791875855772,0.6093860432243425,0.8422562586020906
Random Forest,Train set,2191,98,2049,39,5,0.7153284671532847,0.9514563106796116,0.9813218390804598,0.8166666666666667,0.9799178457325424,0.9663890748800356,0.9968520998400476
XGBoost,Train set,2191,103,2081,7,0,0.9363636363636364,1.0,0.996647509578544,0.9671361502347418,0.9968051118210862,0.998323754789272,1.0
LightGBM,Train set,2191,103,2088,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CatBoost,Train set,2191,103,2088,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Validation(CV),2191,21,2035,53,82,0.1027588726140396,0.5818181818181818,0.7524015458225984,0.1743996942741546,0.7444084682440847,0.6671098638203901,0.7288420968983169
Random Forest,Validation(CV),2191,91,2046,42,12,0.6574392712550607,0.9036363636363636,0.9760604527051896,0.757214123707377,0.9726110419261104,0.9398484081707768,0.9764869759427176
XGBoost,Validation(CV),2191,84,2062,26,19,0.7606351981351981,0.8245454545454546,0.9865913691571586,0.7857914879425179,0.9790037359900374,0.9055684118513064,0.9758261953357648
LightGBM,Validation(CV),2191,79,2066,22,24,0.8515911865911866,0.7554545454545455,0.993292234081708,0.793685912059852,0.9821959319219594,0.8743733897681267,0.9710263241543146
CatBoost,Validation(CV),2191,82,2062,26,21,0.7654551004551005,0.8345454545454546,0.9865890688259108,0.7910079102184365,0.9794603569946037,0.9105672616856828,0.978837789005253
Logistic Regression,Test set,548,4,497,25,22,0.1379310344827586,0.1538461538461538,0.9521072796934866,0.1454545454545454,0.9142335766423356,0.5529767167698203,0.6937076333628057
Random Forest,Test set,548,19,512,10,7,0.6551724137931034,0.7307692307692307,0.9808429118773946,0.6909090909090909,0.968978102189781,0.8558060713233127,0.9741379310344828
XGBoost,Test set,548,21,518,4,5,0.84,0.8076923076923077,0.992337164750958,0.8235294117647058,0.9835766423357664,0.9000147362216329,0.9809165929855586
LightGBM,Test set,548,21,520,2,5,0.9130434782608696,0.8076923076923077,0.9961685823754788,0.8571428571428571,0.9872262773722628,0.9019304450338932,0.9776009431181844
CatBoost,Test set,548,20,518,4,6,0.8333333333333334,0.7692307692307693,0.992337164750958,0.8,0.9817518248175182,0.8807839669908636,0.984011199528441
Logistic Regression,Entire population,2739,29,2535,75,100,0.2788461538461538,0.2248062015503876,0.971264367816092,0.2489270386266094,0.9361080686381892,0.5980352846832397,0.8119872880097418
Random Forest,Entire population,2739,117,2561,49,12,0.7048192771084337,0.9069767441860463,0.9812260536398468,0.7932203389830509,0.977729098211026,0.9441013989129464,0.9923520152068668
XGBoost,Entire population,2739,124,2599,11,5,0.9185185185185184,0.9612403100775194,0.9957854406130268,0.9393939393939394,0.9941584519897771,0.9785128753452732,0.9966527072381124
LightGBM,Entire population,2739,124,2608,2,5,0.984126984126984,0.9612403100775194,0.9992337164750956,0.9725490196078432,0.9974443227455276,0.9802370132763076,0.9961448216460246
CatBoost,Entire population,2739,123,2606,4,6,0.968503937007874,0.9534883720930232,0.9984674329501916,0.9609375,0.9963490324936108,0.9759779025216074,0.997362559030562
