Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,2191,25,2038,50,78,0.3333333333333333,0.24271844660194175,0.9760536398467433,0.2808988764044944,0.9415791875855773,0.6093860432243425,0.8422562586020906
Logistic Regression,Validation(CV),2191,21,2035,53,82,0.10275887261403967,0.5818181818181818,0.7524015458225984,0.17439969427415467,0.7444084682440847,0.6671098638203901,0.7288420968983169
Logistic Regression,Test set,548,4,497,25,22,0.13793103448275862,0.15384615384615385,0.9521072796934866,0.14545454545454545,0.9142335766423357,0.5529767167698203,0.6937076333628057
Logistic Regression,Entire population,2739,29,2535,75,100,0.27884615384615385,0.2248062015503876,0.9712643678160919,0.24892703862660945,0.9361080686381891,0.5980352846832397,0.8119872880097418
Random Forest,Train set,2191,98,2049,39,5,0.7153284671532847,0.9514563106796117,0.9813218390804598,0.8166666666666667,0.9799178457325423,0.9663890748800357,0.9968520998400475
Random Forest,Validation(CV),2191,91,2046,42,12,0.6574392712550607,0.9036363636363636,0.9760604527051895,0.757214123707377,0.9726110419261103,0.9398484081707768,0.9764869759427176
Random Forest,Test set,548,19,512,10,7,0.6551724137931034,0.7307692307692307,0.9808429118773946,0.6909090909090909,0.968978102189781,0.8558060713233127,0.9741379310344828
Random Forest,Entire population,2739,117,2561,49,12,0.7048192771084337,0.9069767441860465,0.9812260536398467,0.7932203389830509,0.9777290982110259,0.9441013989129465,0.9923520152068668
XGBoost,Train set,2191,103,2081,7,0,0.9363636363636364,1.0,0.9966475095785441,0.9671361502347418,0.9968051118210862,0.998323754789272,1.0
XGBoost,Validation(CV),2191,84,2062,26,19,0.7606351981351981,0.8245454545454546,0.9865913691571586,0.7857914879425179,0.9790037359900374,0.9055684118513065,0.9758261953357648
XGBoost,Test set,548,21,518,4,5,0.84,0.8076923076923077,0.9923371647509579,0.8235294117647058,0.9835766423357665,0.9000147362216329,0.9809165929855586
XGBoost,Entire population,2739,124,2599,11,5,0.9185185185185185,0.9612403100775194,0.9957854406130269,0.9393939393939394,0.9941584519897773,0.9785128753452732,0.9966527072381123
LightGBM,Train set,2191,103,2088,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,Validation(CV),2191,79,2066,22,24,0.8515911865911866,0.7554545454545455,0.9932922340817079,0.793685912059852,0.9821959319219594,0.8743733897681267,0.9710263241543146
LightGBM,Test set,548,21,520,2,5,0.9130434782608695,0.8076923076923077,0.9961685823754789,0.8571428571428571,0.9872262773722628,0.9019304450338933,0.9776009431181845
LightGBM,Entire population,2739,124,2608,2,5,0.9841269841269841,0.9612403100775194,0.9992337164750957,0.9725490196078431,0.9974443227455275,0.9802370132763076,0.9961448216460246
CatBoost,Train set,2191,103,2088,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CatBoost,Validation(CV),2191,82,2062,26,21,0.7654551004551005,0.8345454545454546,0.9865890688259109,0.7910079102184365,0.9794603569946035,0.9105672616856829,0.978837789005253
CatBoost,Test set,548,20,518,4,6,0.8333333333333334,0.7692307692307693,0.9923371647509579,0.8,0.9817518248175182,0.8807839669908636,0.984011199528441
CatBoost,Entire population,2739,123,2606,4,6,0.968503937007874,0.9534883720930233,0.9984674329501916,0.9609375,0.9963490324936108,0.9759779025216074,0.9973625590305621
