Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
수출_중량_급증률_12개월,366,9.296418592837185,9.296418592837185
수입_중량_급증률_12개월,319,8.10261620523241,17.399034798069593
조치대상국의_한국_HS6_수입_비중_조치_후,277,7.035814071628144,24.43484886969774
수출_중량_급증률_6개월,262,6.65481330962662,31.089662179324357
수입_중량_급증률_6개월,230,5.842011684023368,36.931673863347726
조치대상국의_한국_HS6_수입_비중_변화,171,4.343408686817374,41.2750825501651
반덤핑_관세율,135,3.429006858013716,44.70408940817882
hs6,132,3.3528067056134114,48.05689611379223
수출_중량_급증률_3개월,127,3.225806451612903,51.28270256540513
발틱_운임지수_BDI,119,3.0226060452120906,54.305308610617224
조치대상국_GDP_성장률,106,2.6924053848107694,56.99771399542799
수입_중량_급증률_3개월,103,2.6162052324104645,59.61391922783846
case_id,92,2.3368046736093473,61.95072390144781
브렌트_원유_가격,88,2.235204470408941,64.18592837185675
조치대상국의_대미_무역수지,79,2.0066040132080265,66.19253238506478
글로벌_HS6_수출_규모,78,1.9812039624079247,68.1737363474727
조치대상국의_한국_HS6_수입_비중_조치_전,77,1.9558039116078234,70.12954025908053
조치대상국_1인당_GDP,77,1.9558039116078234,72.08534417068836
동일_HS6에_대한_미국_AD_조치_대상국_수,73,1.8542037084074168,73.93954787909577
조치대상국_통화의_원화_환율_변화율,68,1.7272034544069088,75.66675133350267
조치대상국의_대미_UN_투표_일치율,66,1.6764033528067057,77.34315468630938
글로벌_무역_성장률,62,1.574803149606299,78.91795783591567
원·달러_환율_변화율,60,1.524003048006096,80.44196088392177
수출_발생_월수_-_조치_후_6개월,57,1.4478028956057911,81.88976377952756
수출_발생_월수_-_조치_전_12개월,52,1.3208026416052832,83.21056642113284
조치대상국-한국_간_인구가중_거리,47,1.1938023876047752,84.40436880873762
inv_cty,45,1.143002286004572,85.54737109474219
한국_수출_증가율,44,1.1176022352044706,86.66497332994666
수입_발생_월수_-_조치_전_12개월,40,1.0160020320040641,87.68097536195073
조치대상국발_한국_HS6_수입_집중도,39,0.9906019812039624,88.6715773431547
수입_발생_월수_-_조치_후_12개월,35,0.8890017780035561,89.56057912115826
미국_GDP_성장률,33,0.8382016764033529,90.39878079756161
iso2,31,0.7874015748031495,91.18618237236477
수출_발생_월수_-_조치_후_12개월,31,0.7874015748031495,91.97358394716792
해당_HS6_최초_AD_조치_이후_경과_연수,29,0.7366014732029463,92.71018542037088
한국_GDP_성장률,28,0.7112014224028449,93.42138684277373
수입_발생_월수_-_조치_후_6개월,26,0.6604013208026416,94.08178816357636
한국_제조업_생산_증가율,26,0.6604013208026416,94.742189484379
중국_GDP_성장률,25,0.63500127000254,95.37719075438153
미국의_연간_반덤핑_조치_건수,24,0.6096012192024384,95.98679197358396
조치대상국-미국_간_인구가중_거리,23,0.5842011684023368,96.57099314198629
HS_챕터,22,0.5588011176022353,97.12979425958852
수출_발생_월수_-_조치_후_3개월,19,0.4826009652019304,97.61239522479045
수출_발생_월수_-_조치_전_3개월,17,0.4318008636017272,98.04419608839217
수출_발생_월수_-_조치_전_6개월,17,0.4318008636017272,98.47599695199389
p_ad_yyyymm,15,0.381000762001524,98.85699771399541
수입_발생_월수_-_조치_전_3개월,12,0.3048006096012192,99.16179832359663
반덤핑_조치_시행_이후_경과_월수,11,0.27940055880111764,99.44119888239774
수입_발생_월수_-_조치_전_6개월,8,0.20320040640081277,99.64439928879855
수입_발생_월수_-_조치_후_3개월,5,0.12700025400050802,99.77139954279906
반덤핑_조사_소요_기간,5,0.12700025400050802,99.89839979679957
반덤핑_조치_부과_연도,4,0.10160020320040639,99.99999999999997
