Feature,Interaction Features,Contribution Importance
디지털대응_3,연도,0.05054136803738857
디지털대응_3,정부지원경험_1,0.0438286791471563
디지털대응_3,창업과정어려움_업종선택,0.039200148450696956
디지털대응_3,디지털대응_응답여부,0.0363278911672614
디지털대응_3,직전종사상지위_3,0.027105981480087367
디지털대응_3,연간매출액,0.02509234008543406
디지털대응_3,창업과정어려움_경영방법,0.02384104932826566
디지털대응_3,창업동기_2,0.02205574994179723
디지털대응_3,창업과정어려움_행정절차,0.01876855279202626
디지털대응_3,창업준비활동중요성_동종업종종사경험,0.017849109967106796
디지털대응_3,총종사자,0.017429196351061167
디지털대응_3,정부지원경험_2,0.01616730905753212
디지털대응_3,창업과정어려움_입지선정,0.014411457052334176
디지털대응_3,사업장이전경험,0.013691772136613824
디지털대응_3,창업동기_3,0.013282711758589551
디지털대응_3,창업준비활동중요성_창업교육,0.012965614555435274
디지털대응_3,창업준비기간,0.012196054043582712
디지털대응_3,창업준비활동중요성_시장조사,0.011030202092233042
디지털대응_3,경영애로사항_4,0.010397455571737069
디지털대응_3,창업과정어려움_자금조달,0.010390235697210023
디지털대응_3,임차형태_7,0.010113362191967592
디지털대응_3,창업준비활동중요성_사업계획서작성,0.010094458432310929
디지털대응_3,창업준비활동_사업계획서작성,0.009961729804840148
디지털대응_3,창업과정어려움_인력확보,0.009467087936609072
디지털대응_3,창업준비활동_동종업종종사경험,0.009207173772946792
디지털대응_3,임차형태_1,0.008753583818850717
디지털대응_3,직전종사상지위_1,0.00852347985091474
디지털대응_3,경영애로사항_9,0.008336844883199798
디지털대응_3,직전종사상지위_2,0.008226881327963531
디지털대응_3,경영애로사항_2,0.007594131227430458
디지털대응_3,창업과정어려움_기술확보,0.00730962999780933
디지털대응_3,창업횟수,0.007094054251206378
디지털대응_3,부채현황,0.00694819359670754
디지털대응_3,총창업비용,0.006003733673962409
디지털대응_3,경영애로사항_3,0.005907097166295744
디지털대응_3,창업준비활동_시장조사,0.00584085789696421
디지털대응_3,직전종사상지위_4,0.005762523476517853
디지털대응_3,경영애로사항_1,0.004988628261102996
디지털대응_3,디지털대응_1,0.004538672667951247
디지털대응_3,디지털대응_5,0.004306883623924039
디지털대응_3,임차형태_2,0.002447785326616297
디지털대응_3,임차형태_5,0.002334257287917424
디지털대응_3,디지털대응_2,0.0017556956911679784
디지털대응_3,정부지원경험_3,0.0013253528405889547
디지털대응_3,경영애로사항_6,0.0011650027269369248
디지털대응_3,경영애로사항_8,0.0011228655041817036
디지털대응_3,프랜차이즈가맹점여부,0.0009529654363248142
디지털대응_3,창업동기_4,0.0009065418997177665
디지털대응_3,창업동기_1,0.0008405878452955158
디지털대응_3,디지털대응_6,0.0008232216814503658
디지털대응_3,경영애로사항_5,0.0007820718500178837
디지털대응_3,창업준비활동_창업교육,0.0006228739829031912
디지털대응_3,경영애로사항_7,0.0004895510153633474
디지털대응_3,임차형태_3,0.0004893591657158398
디지털대응_3,디지털대응_4,0.00033643633721334255
디지털대응_3,임차형태_4,3.473101581378114e-05
디지털대응_3,임차형태_6,6.361734906502086e-07
창업동기_2,창업동기_3,0.25315085656194297
창업동기_2,창업동기_1,0.062193345258759816
창업동기_2,창업준비활동_동종업종종사경험,0.030869297463194518
창업동기_2,연간매출액,0.023282616701200663
창업동기_2,디지털대응_3,0.022055749941797223
창업동기_2,창업준비활동중요성_동종업종종사경험,0.021683594971218648
창업동기_2,직전종사상지위_3,0.020168451300584193
창업동기_2,창업과정어려움_인력확보,0.01964905104039215
창업동기_2,창업동기_4,0.018682971001644386
창업동기_2,창업준비활동중요성_시장조사,0.016334571777917743
창업동기_2,경영애로사항_2,0.014123970797067892
창업동기_2,창업과정어려움_업종선택,0.013888055034309534
창업동기_2,총종사자,0.013716929514542595
창업동기_2,연도,0.013578287645367672
창업동기_2,디지털대응_응답여부,0.012601354117583913
창업동기_2,창업준비활동중요성_사업계획서작성,0.012063126614459376
창업동기_2,창업과정어려움_경영방법,0.01103402740811409
창업동기_2,임차형태_7,0.010937340485016335
창업동기_2,정부지원경험_1,0.010718137678911652
창업동기_2,직전종사상지위_1,0.008566081636571927
창업동기_2,임차형태_1,0.007286945671636282
창업동기_2,경영애로사항_3,0.006843017017096477
창업동기_2,창업과정어려움_행정절차,0.005908137182078044
창업동기_2,창업준비기간,0.005516694125980966
창업동기_2,사업장이전경험,0.005207420455989264
창업동기_2,창업과정어려움_기술확보,0.005164043049215368
창업동기_2,정부지원경험_2,0.0051249767066871505
창업동기_2,직전종사상지위_2,0.004541853198884385
창업동기_2,부채현황,0.004389548803796052
창업동기_2,창업과정어려움_자금조달,0.004367232518779254
창업동기_2,창업준비활동_시장조사,0.003827308073498563
창업동기_2,창업준비활동중요성_창업교육,0.0036977936992142312
창업동기_2,경영애로사항_1,0.003193526676017732
창업동기_2,경영애로사항_7,0.0028715695124565356
창업동기_2,경영애로사항_9,0.002858652335824438
창업동기_2,총창업비용,0.0028030914659839825
창업동기_2,창업과정어려움_입지선정,0.0027932117356438356
창업동기_2,창업준비활동_사업계획서작성,0.0026680791570392634
창업동기_2,임차형태_5,0.0023222927380802836
창업동기_2,경영애로사항_4,0.002272202310057184
창업동기_2,직전종사상지위_4,0.0022462881902321876
창업동기_2,임차형태_2,0.0022347363681381564
창업동기_2,경영애로사항_8,0.0020309894152944962
창업동기_2,디지털대응_2,0.0019253522508761833
창업동기_2,창업횟수,0.0019073636013755676
창업동기_2,창업준비활동_창업교육,0.0016583394534358015
창업동기_2,디지털대응_4,0.0014490169935224577
창업동기_2,경영애로사항_5,0.0013080684977984662
창업동기_2,디지털대응_1,0.0011945056333587407
창업동기_2,정부지원경험_3,0.0011379166172172327
창업동기_2,디지털대응_6,0.0011378743266479616
창업동기_2,경영애로사항_6,0.0007447612340450248
창업동기_2,디지털대응_5,0.0005316399598462976
창업동기_2,임차형태_3,0.0005241093311792506
창업동기_2,프랜차이즈가맹점여부,0.0003133025604023066
