Feature,Rank_Total,DirectionQR_Total,DirectionCORR_Total,Rank_2019Y,DirectionQR_2019Y,DirectionCORR_2019Y,Rank_2020Y,DirectionQR_2020Y,DirectionCORR_2020Y,Rank_2021Y,DirectionQR_2021Y,DirectionCORR_2021Y,Rank_2022Y,DirectionQR_2022Y,DirectionCORR_2022Y,Rank_2023Y,DirectionQR_2023Y,DirectionCORR_2023Y
디지털대응_3,1,+,+,1,-,-,1,+,-,1,+,+,3,+,+,2,+,+
창업준비활동중요성_동종업종종사경험,2,+,+,2,+,+,2,+,+,2,+,+,1,+,+,4,+,+
창업동기_2,3,+,+,3,+,+,3,+,+,4,+,+,2,+,+,3,+,+
창업과정어려움_업종선택,4,+,-,5,+,-,5,+,-,3,+,-,4,+,-,14,+,-
창업준비활동중요성_창업교육,5,+,+,4,+,+,4,+,+,6,+,+,7,+,+,8,+,+
창업과정어려움_경영방법,6,+,-,6,+,-,6,+,-,5,+,-,5,+,-,13,+,-
창업과정어려움_입지선정,7,+,+,8,+,+,7,+,+,7,+,+,9,+,+,10,+,+
정부지원경험_1,8,+,+,7,+,+,8,+,+,10,+,+,10,+,+,7,+,+
직전종사상지위_3,9,+,+,10,+,+,10,+,+,9,+,+,6,+,+,6,+,+
창업과정어려움_행정절차,10,+,+,9,+,+,9,+,+,8,+,+,8,+,-,11,+,+
경영애로사항_2,11,+,+,12,+,+,11,+,+,11,+,+,11,+,+,5,+,+
창업동기_3,12,+,+,13,+,+,15,+,+,13,+,+,12,+,+,16,+,+
창업과정어려움_인력확보,13,+,+,15,+,+,12,+,+,12,+,+,15,+,-,20,+,+
정부지원경험_2,14,+,+,11,+,+,13,+,+,17,+,+,19,+,+,9,+,+
창업준비활동중요성_사업계획서작성,15,+,-,16,+,-,14,+,-,14,+,-,16,+,-,21,+,-
연간매출액,16,+,+,20,+,+,19,+,+,16,+,+,13,+,+,12,+,+
디지털대응_응답여부,17,+,+,14,+,-,22,+,+,22,+,+,14,+,+,22,+,-
경영애로사항_3,18,+,+,23,+,+,21,+,+,15,+,+,17,+,+,15,+,+
임차형태_7,19,+,+,19,+,+,17,+,+,18,+,+,18,+,+,18,+,+
임차형태_1,20,+,+,21,+,+,20,+,+,20,+,+,20,+,+,19,+,+
연도,21,+,+,30,+,-,31,+,-,35,+,-,32,+,-,1,+,-
창업준비활동중요성_시장조사,22,+,-,17,+,+,16,+,-,21,+,-,23,+,-,26,+,-
창업과정어려움_자금조달,23,+,-,18,+,-,18,+,-,19,-,-,21,+,-,23,+,-
경영애로사항_1,24,+,+,22,+,+,24,+,+,23,+,+,22,+,+,38,+,+
창업과정어려움_기술확보,25,-,-,24,-,-,23,+,-,24,-,-,25,+,-,28,+,-
직전종사상지위_2,26,+,+,25,+,+,25,+,+,25,+,+,24,+,+,17,+,+
직전종사상지위_1,27,+,+,27,+,+,27,+,+,26,+,+,26,+,+,25,+,+
창업준비기간,28,+,+,28,+,+,26,+,+,29,-,+,29,+,+,33,+,+
창업횟수,29,+,+,31,+,+,28,+,+,27,+,+,28,+,+,35,+,+
총종사자,30,+,+,32,+,+,30,+,+,28,+,+,27,+,+,31,+,+
사업장이전경험,31,+,+,29,+,+,29,+,+,31,+,+,31,+,+,41,+,+
