Feature,Rank_Total,DirectionQR_Total,DirectionCORR_Total,Rank_2019Y,DirectionQR_2019Y,DirectionCORR_2019Y,Rank_2020Y,DirectionQR_2020Y,DirectionCORR_2020Y,Rank_2021Y,DirectionQR_2021Y,DirectionCORR_2021Y,Rank_2022Y,DirectionQR_2022Y,DirectionCORR_2022Y,Rank_2023Y,DirectionQR_2023Y,DirectionCORR_2023Y
디지털대응_3,1,+,+,1,-,-,1,+,-,1,+,+,5,+,+,3,-,-
직전종사상지위_3,2,+,+,2,+,+,3,+,+,2,+,+,1,+,+,5,+,+
창업준비활동중요성_동종업종종사경험,3,-,-,3,+,-,2,-,-,3,+,-,3,+,-,4,+,-
창업동기_2,4,+,+,5,+,+,5,+,+,4,+,+,2,+,+,2,+,+
창업과정어려움_행정절차,5,+,+,4,+,+,4,+,+,5,+,+,4,+,+,6,+,+
창업과정어려움_인력확보,6,+,+,6,+,+,6,+,+,6,+,+,6,-,+,9,+,+
창업과정어려움_경영방법,7,+,-,7,-,-,7,+,-,7,+,-,7,+,-,11,+,-
정부지원경험_1,8,+,+,8,+,+,9,+,+,8,+,+,8,+,+,7,+,+
창업과정어려움_업종선택,9,+,-,9,+,-,8,+,-,9,+,-,9,+,-,16,+,-
창업준비활동중요성_시장조사,10,+,-,10,+,-,10,-,-,10,-,-,10,+,-,15,+,-
창업준비활동중요성_창업교육,11,+,+,11,-,+,11,+,+,11,+,+,11,+,+,12,+,+
창업과정어려움_입지선정,12,+,+,12,+,+,12,+,+,12,+,+,13,+,+,14,+,+
임차형태_1,13,+,+,15,+,+,14,+,+,13,+,+,12,+,+,10,+,+
창업과정어려움_자금조달,14,-,-,14,-,-,13,-,-,14,-,-,15,+,-,20,+,-
창업동기_3,15,+,+,17,+,+,20,+,+,17,+,+,14,+,+,18,+,+
경영애로사항_2,16,+,+,20,+,+,17,+,+,15,+,+,16,+,+,13,+,+
창업과정어려움_기술확보,17,-,-,18,-,-,15,+,-,16,-,-,18,+,-,23,+,-
정부지원경험_2,18,+,+,13,+,+,18,+,+,20,+,+,23,+,+,8,+,+
창업준비활동중요성_사업계획서작성,19,+,-,19,+,-,16,+,-,18,+,-,20,+,-,24,+,-
디지털대응_응답여부,20,+,+,16,-,-,19,+,+,22,+,+,17,+,+,39,+,-
임차형태_7,21,+,+,24,+,+,22,+,+,19,+,+,19,+,+,17,+,+
창업횟수,22,+,+,21,+,+,21,+,+,21,+,+,22,+,+,33,+,+
연간매출액,23,+,+,23,+,+,23,+,+,24,+,+,21,+,+,19,+,+
경영애로사항_1,24,+,+,22,+,+,24,+,+,23,+,+,24,+,+,31,+,+
직전종사상지위_2,25,+,+,25,+,+,25,+,+,26,+,+,25,+,+,21,+,+
경영애로사항_3,26,+,+,28,+,+,28,+,+,25,+,+,26,+,+,22,+,+
직전종사상지위_1,27,+,+,26,+,+,26,+,+,27,+,+,27,+,+,25,+,+
연도,28,+,+,41,+,-,32,+,-,38,+,-,32,+,-,1,+,-
창업준비기간,29,+,+,27,+,+,27,-,+,28,-,+,29,+,+,30,+,+
직전종사상지위_4,30,+,+,29,+,+,29,+,+,29,+,+,28,+,+,32,+,+
임차형태_2,31,+,+,30,+,+,30,+,+,31,+,+,30,+,+,37,+,+
총종사자,32,+,+,31,+,+,31,+,+,30,+,+,31,+,+,38,+,+
부채현황,33,-,+,33,-,+,33,-,+,32,-,+,33,-,+,36,-,-
창업동기_1,34,+,+,37,+,+,36,+,+,37,+,+,35,+,+,26,+,+
경영애로사항_4,35,+,+,35,+,+,40,+,+,39,+,+,36,+,+,27,+,+
임차형태_5,36,+,+,43,+,+,38,+,+,35,+,+,34,+,+,44,+,+
창업준비활동_동종업종종사경험,37,+,+,39,+,+,37,+,+,34,+,+,38,-,-,45,-,-
총창업비용,38,+,-,40,+,-,35,+,+,36,+,+,37,+,-,40,-,-
경영애로사항_9,39,+,+,38,-,-,34,+,+,41,+,+,40,+,+,41,+,+
사업장이전경험,40,+,+,36,+,+,39,+,+,40,+,+,39,+,+,47,+,+
정부지원경험_3,41,+,+,42,+,+,46,+,+,33,+,+,42,+,+,42,+,+
경영애로사항_7,42,+,+,44,+,+,42,+,+,42,+,+,41,+,+,35,+,+
디지털대응_6,43,+,+,32,-,-,41,+,+,45,+,+,45,+,-,43,+,+
경영애로사항_8,44,+,+,49,+,+,43,+,+,43,+,+,44,+,+,29,+,+
경영애로사항_6,45,+,+,47,+,+,45,+,+,44,+,+,43,+,+,34,+,+
경영애로사항_5,46,+,+,48,+,+,47,+,+,47,+,+,47,+,+,28,+,+
창업준비활동_사업계획서작성,47,+,+,46,+,+,44,-,-,46,+,+,46,+,+,46,-,-
디지털대응_4,48,+,-,34,-,-,51,+,+,54,+,+,53,+,+,53,+,+
창업준비활동_시장조사,49,+,+,52,+,+,48,+,+,48,+,+,48,+,+,49,+,+
프랜차이즈가맹점여부,50,-,-,51,-,-,49,-,-,51,-,-,49,-,-,48,-,-
창업동기_4,51,+,+,50,+,+,53,+,+,50,+,+,50,+,+,50,+,+
디지털대응_2,52,-,-,55,-,-,50,-,-,49,-,-,51,-,-,52,-,-
임차형태_3,53,+,+,53,+,+,54,+,+,52,+,+,52,+,+,51,+,+
디지털대응_1,54,+,-,45,-,-,55,-,-,55,+,-,55,+,-,56,+,+
창업준비활동_창업교육,55,+,+,54,+,+,52,+,+,53,+,+,54,+,+,54,-,-
디지털대응_5,56,+,-,56,-,-,56,+,-,56,+,-,56,+,+,55,+,+
임차형태_6,57,+,+,58,+,+,57,+,+,57,+,+,58,+,+,57,+,+
임차형태_4,58,+,+,57,+,+,58,+,+,58,+,+,57,+,+,58,+,+
