Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
창업동기_1,0.057134886216200435,0.7420628410607678,0.9985219349219512,0.7420628410607665,0.7420628410607665,+,+,+,디지털대응_1,0.011807542757555066,0.02854183384014877,-0.9163890037079865,-0.10662489551752008,-0.055397314233836,-,-,-
창업동기_3,0.2412790895127207,0.7313172479631238,0.9965671875695559,0.7313172479631231,0.7313172479631231,+,+,+,창업과정어려움_업종선택,0.2539848018529469,0.3034676665077687,-0.8628365877391783,-0.3228376977800908,0.0,-,-,+
창업동기_2,0.4244862251141067,0.8270562411809458,0.9956649823461545,0.8270562411809426,0.8270562411809426,+,+,+,디지털대응_2,0.012694585335384775,0.09626150659944234,-0.7825020317991863,-0.07504521857249233,-0.032637339101781966,-,-,-
창업동기_4,0.01743502202921952,0.9753680994700717,0.994416189536436,0.9753680994699696,0.9753680994699696,+,+,+,창업과정어려움_경영방법,0.24166473367709967,0.28199794913719495,-0.7787689573017172,-0.19580193902077386,0.0,-,-,+
임차형태_2,0.05262683771828057,0.4265445983317808,0.9941172146074531,0.42654459833178016,0.42654459833178016,+,+,+,프랜차이즈가맹점여부,0.01361480634275465,0.13441962724651765,-0.7483417715011116,-0.13752847924435088,-0.13752847924435088,-,-,-
임차형태_5,0.03249340938460456,0.3341568190899602,0.9933412969671758,0.3341568190899603,0.3341568190899603,+,+,+,창업과정어려움_기술확보,0.1033997388538445,0.13584935518262153,-0.6613021153246973,-0.07287736132558512,0.0,-,-,+
직전종사상지위_1,0.1095846909937227,0.48010795690887,0.9918202929602286,0.480107956908871,0.480107956908871,+,+,+,창업준비활동중요성_시장조사,0.11325403828852869,0.13498393502936323,-0.3123950002798886,-0.028762854763099924,0.0,-,-,+
정부지원경험_2,0.20429114313789762,0.5492916363715737,0.9916328395322509,0.5492916363715713,0.5492916363715713,+,+,+,창업과정어려움_자금조달,0.11549342299329013,0.11549342299329013,-0.23658327427867185,-0.019968672075008374,0.0,-,-,+
임차형태_1,0.15279929131283812,0.29579800875277734,0.9902100121930515,0.29579800875277706,0.29579800875277706,+,+,+,창업준비활동중요성_사업계획서작성,0.14176592364076943,0.14176592364076943,-0.23000015111528269,-0.022997490930030038,0.0,-,-,+
직전종사상지위_4,0.08059695472195075,0.5910618049309908,0.990142786222996,0.5910618049309899,0.5910618049309899,+,+,+,창업준비활동중요성_동종업종종사경험,0.3886383607780932,0.3886383607780932,-0.22786488676760266,-0.04275055167729805,0.0,-,-,+
직전종사상지위_2,0.14348141410930074,0.5457945609551056,0.9896342482942109,0.545794560955106,0.545794560955106,+,+,+,창업과정어려움_행정절차,0.21993572791181998,0.21993572791181998,-0.14705594348290998,-0.0207797849977033,-0.24399710362855803,-,-,-
임차형태_3,0.010322871076795692,0.4179107974708265,0.9895480761516315,0.41791079747085336,0.41791079747085336,+,+,+,경영애로사항_9,0.040598291151201914,0.042839471486631225,-0.13267051577818337,-0.07179443877269805,-0.13559531457949142,-,-,-
임차형태_7,0.16157964685854717,0.487604957255535,0.9890415259610517,0.4876049572555362,0.4876049572555362,+,+,+,,,,,,,,,
임차형태_4,0.00021922130377453533,0.06119043486515109,0.9886220141136277,0.06119043486514431,0.06119043486514431,+,+,+,,,,,,,,,
직전종사상지위_3,0.3053119163131324,0.59221191435158,0.9875000718814824,0.5922119143515826,0.5922119143515826,+,+,+,,,,,,,,,
사업장이전경험,0.0745314363637555,0.36335628002244336,0.9864769658523547,0.36351622255141214,0.36351622255141214,+,+,+,,,,,,,,,
정부지원경험_3,0.03308854599210089,0.4730543930974521,0.9855552541415404,0.4730543930974525,0.4730543930974525,+,+,+,,,,,,,,,
경영애로사항_4,0.06873915293606743,0.6618638507526522,0.9849413044899692,0.6618638507526503,0.6618638507526503,+,+,+,,,,,,,,,
경영애로사항_1,0.1275034774436514,0.3843806628782832,0.9837267770002361,0.38511439523813445,0.38511439523813445,+,+,+,,,,,,,,,
정부지원경험_1,0.30587077038511845,0.5924247514099537,0.9828345530125813,0.5924247514099531,0.5924247514099531,+,+,+,,,,,,,,,
경영애로사항_2,0.27371731725258797,0.6403457895876761,0.9769598189641081,0.6403457895876756,0.6403457895876756,+,+,+,,,,,,,,,
경영애로사항_7,0.0371120978242367,0.5892465279081908,0.9738955551563082,0.5892465279081893,0.5892465279081893,+,+,+,,,,,,,,,
경영애로사항_6,0.03709929282038422,0.5834399277777258,0.9692151762270461,0.5834399277777268,0.5834399277777268,+,+,+,,,,,,,,,
경영애로사항_3,0.186117800055816,0.6958138621875842,0.9661588270124112,0.6958138621875828,0.6958138621875828,+,+,+,,,,,,,,,
경영애로사항_8,0.03838405618986965,0.6455468446057979,0.9639320239024011,0.6455468446057978,0.6455468446057978,+,+,+,,,,,,,,,
임차형태_6,0.0008362225868203107,0.2608719333495786,0.9542783511565263,0.26087193334956027,0.26087193334956027,+,+,+,,,,,,,,,
경영애로사항_5,0.03346521435272387,0.46362588944388455,0.9248547544340185,0.4636258894438841,0.4636258894438841,+,+,+,,,,,,,,,
창업준비활동_시장조사,0.02005785704262484,0.04244943946606393,0.9045777739771036,0.04232727816860582,0.04232727816860582,+,+,+,,,,,,,,,
창업준비활동_사업계획서작성,0.030445944915896424,0.05969975125856993,0.9013130761037922,0.061066317280588096,0.061066317280588096,+,+,+,,,,,,,,,
창업준비활동_창업교육,0.017465300237946985,0.047402324021008906,0.8888274722867817,0.05232476409571362,0.05232476409571362,+,+,+,,,,,,,,,
디지털대응_4,0.007184585671928067,0.023305598085896377,0.8801636627251876,0.0492118688831835,0.022584290032907114,+,+,+,,,,,,,,,
디지털대응_6,0.014441477595823869,0.03614032281980543,0.838043652288399,0.08518842275685712,0.034004565181362176,+,+,+,,,,,,,,,
디지털대응_5,0.010358356836338775,0.0289425480019695,0.7952527134041857,0.06862659799401218,0.027142712294364643,+,+,+,,,,,,,,,
창업준비활동_동종업종종사경험,0.04536563660750903,0.08927406606701714,0.7816051527282795,0.08447164019961409,0.08447164019961409,+,+,+,,,,,,,,,
창업횟수,0.09374588850701365,0.22092497536507974,0.763260825490016,1.6680725388896556,1.499429863325447,+,+,+,,,,,,,,,
총종사자,0.09865553343711146,0.19369767928869885,0.6472412343726685,13.6576113140599,5.069041669531426,+,+,+,,,,,,,,,
연도,0.19884514795422106,0.9941541201586311,0.6187069274439826,0.7663413435189933,0.0,+,+,+,,,,,,,,,
