Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
임차형태_7,0.25891978404640004,0.783581552006599,0.9954010716212793,0.7835815520066012,0.7835815520066012,+,+,+,프랜차이즈가맹점여부,0.02147897923361684,0.28371657415529944,-0.906011285519118,-0.2813937153617839,-0.2813937153617839,-,-,-
임차형태_2,0.09627425907386905,0.7289074976283372,0.9945325671382145,0.7289074976283398,0.7289074976283398,+,+,+,창업과정어려움_업종선택,0.2878961624118046,0.3691127583206721,-0.8838261599538115,-0.32838911454820136,0.0,-,-,+
임차형태_1,0.32779533999473165,0.6359380396569843,0.9943058497208672,0.6359380396569839,0.6359380396569839,+,+,+,디지털대응_4,0.024609796889665504,0.11010447738469466,-0.8094913039200221,-0.17830218202398695,-0.10774369596644745,-,-,-
직전종사상지위_1,0.17779680372943002,0.7776638505546956,0.9922204308730072,0.7776638505546937,0.7776638505546937,+,+,+,디지털대응_1,0.010669458427816896,0.030212989474809715,-0.8003901359742157,-0.0819527410061027,-0.046208026290395665,-,-,-
임차형태_3,0.018757931215763586,0.7593955145777145,0.992154417997265,0.7593955145777254,0.7593955145777254,+,+,+,창업과정어려움_경영방법,0.32049858102028866,0.40723379376156166,-0.7719344864371279,-0.20663059983997464,0.0,-,-,+
정부지원경험_2,0.28805506274085474,0.7764617339143461,0.991834285657257,0.7764617339143438,0.7764617339143438,+,+,+,창업과정어려움_기술확보,0.2013823978959031,0.2592056786961455,-0.420143247288478,-0.05905842550369344,0.0,-,-,+
창업동기_2,0.5605939158857477,1.1036561957597244,0.9912973524447034,1.1036561957597288,1.1036561957597288,+,+,+,창업과정어려움_자금조달,0.23196405355779373,0.23196405355779373,-0.3962570760202268,-0.04885455755564604,0.0,-,-,+
임차형태_5,0.06463648490307106,0.6676853163047176,0.9909348953878625,0.6680347954525615,0.6680347954525615,+,+,+,창업준비활동중요성_동종업종종사경험,0.4263222471423243,0.4263222471423243,-0.38398251861818833,-0.13062437892865336,0.0,-,-,+
창업동기_1,0.07845557086548058,1.0238096888451875,0.9907011222175185,1.0238096888451869,1.0238096888451869,+,+,+,디지털대응_2,0.011944782358220775,0.08293253291928468,-0.1853889289363929,-0.022806142023864964,0.0019840590750628893,-,-,+
창업동기_3,0.3352440919373326,1.005812770990764,0.9905152783402865,1.0058127709907638,1.0058127709907638,+,+,+,창업과정어려움_행정절차,0.39998948304439386,0.42289360109038254,-0.0912457729699195,-0.014265664574045102,-0.1432212265983009,-,-,-
경영애로사항_1,0.18951586376523352,0.5623843575168865,0.9894426840318459,0.5623843575168868,0.5623843575168868,+,+,+,창업준비활동중요성_사업계획서작성,0.1918327311304744,0.2023677643723162,-0.07495858276845407,-0.01040496023831862,0.0,-,-,+
정부지원경험_1,0.43352886945438746,0.8387531712399204,0.9894122683898844,0.83875317123992,0.83875317123992,+,+,+,디지털대응_5,0.0040218918982090224,0.018202529807095046,-0.04530810897694481,-0.003740687725099428,-0.010648731046841085,-,-,-
직전종사상지위_2,0.22824900504944062,0.8500073687269306,0.9886314737226826,0.8500073687269292,0.8500073687269292,+,+,+,창업준비활동중요성_시장조사,0.2755873944886263,0.3356658791435416,-0.03012684389682678,-0.004089264285285501,0.0,-,-,+
직전종사상지위_4,0.16102023412313934,1.1974908156740747,0.988236929369316,1.1974908156740744,1.1974908156740744,+,+,+,,,,,,,,,
창업동기_4,0.024071012169331878,1.346605547878003,0.9867888937779163,1.3466055478780663,1.3466055478780663,+,+,+,,,,,,,,,
