Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,112151,55118,49561,7287,185,0.8832305103757712,0.9966547926875576,0.871816070925978,0.9365208821830292,0.9333755383367068,0.9342354318067678,0.954023940412626
Random Forest,Train set,112151,55303,52914,3934,0,0.9335888042946132,1.0,0.9307979172530256,0.9656539200279378,0.964922292266676,0.9653989586265128,0.9999788505545928
XGBoost,Train set,112151,55303,50285,6563,0,0.8939158827142534,1.0,0.8845517872220658,0.9439868907304834,0.9414806822944066,0.9422758936110328,0.9771130386382144
LightGBM,Train set,112151,55293,50416,6432,10,0.8957958687727825,0.9998191779831112,0.8868561778778496,0.9449533444987523,0.9425595848454316,0.9433376779304804,0.9795770196418464
CatBoost,Train set,112151,55288,50730,6118,15,0.9003680422108589,0.9997287669746668,0.892379679144385,0.9474504965341148,0.945314798798049,0.946054223059526,0.9797249369373674
Logistic Regression,Validation(CV),112151,55149,49544,7304,154,0.8832165088011976,0.9967090242454592,0.871780778680906,0.9365346604636936,0.9333844257675288,0.9342449014631824,0.9534035573305376
Random Forest,Validation(CV),112151,55144,50066,6782,159,0.8941124959028255,0.9980471176361628,0.8850090600332509,0.943223832348796,0.9407495009265348,0.941528088834707,0.9642138484731546
XGBoost,Validation(CV),112151,55296,50227,6621,7,0.8932096171957189,0.9999276705391588,0.8836897384786184,0.9435585922200834,0.941008078412278,0.9418087045088884,0.9627878338625534
LightGBM,Validation(CV),112151,55219,50272,6576,84,0.8944371284266494,0.9991320579139223,0.8852728983511691,0.9438876008980328,0.9414182354196502,0.9422024781325457,0.9636982516928584
CatBoost,Validation(CV),112151,55104,50260,6588,199,0.8946490738669413,0.9983183555666072,0.8856247168135232,0.9436425772283752,0.9411953212718536,0.9419715361900654,0.9624006057657388
Logistic Regression,Test set,26517,23619,4,2811,83,0.8936435868331442,0.9964981858071048,0.0014209591474245,0.942272400861725,0.8908624655881133,0.4989595724772647,0.6206438350189812
Random Forest,Test set,26517,23655,19,2796,47,0.8942951117160032,0.9980170449751076,0.0067495559502664,0.9433134608099216,0.8927857600784402,0.502383300462687,0.65093422428547
XGBoost,Test set,26517,23702,0,2815,0,0.8938416864652864,1.0,0.0,0.9439455186284076,0.8938416864652864,0.5,0.6681023013249326
LightGBM,Test set,26517,23691,5,2810,11,0.8939662654239463,0.9995359041431104,0.0017761989342806,0.9438081389558391,0.893615416525248,0.5006560515386955,0.6747789043740717
CatBoost,Test set,26517,23660,19,2796,42,0.8943150892047173,0.9982279976373302,0.0067495559502664,0.9434187966027352,0.8929743183618056,0.5024887767937983,0.6717537457773872
Logistic Regression,Entire population,138668,78737,49565,10098,268,0.8863285867056904,0.9966078096323018,0.8307493756599568,0.9382387988560534,0.9252459110970088,0.9136785926461292,0.9382890209738598
Random Forest,Entire population,138668,78958,52933,6730,47,0.9214592475025676,0.9994051009429784,0.8871997720530312,0.9588507101091122,0.9511278737704444,0.9433024364980048,0.9887893748574832
XGBoost,Entire population,138668,79005,50285,9378,0,0.8938936220766437,1.0,0.8428171563615641,0.943974478457237,0.932370842588052,0.921408578180782,0.962588770181342
LightGBM,Entire population,138668,78984,50421,9242,21,0.8952462992768572,0.999734194038352,0.8450966260496455,0.944609552056736,0.9332001615369084,0.9224154100439989,0.9652697867247992
CatBoost,Entire population,138668,78948,50749,8914,57,0.8985454462680112,0.9992785266755267,0.8505941705914889,0.9462386211773448,0.9353059105200912,0.9249363486335078,0.9653031350123868
