Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,13134,4305,3892,2675,2262,0.6167621776504298,0.6555504796710827,0.5926602710522308,0.6355650697571418,0.6241053753616568,0.6241053753616568,0.6673596906924348
Logistic Regression,Validation(CV),13134,4251,3837,2730,2316,0.6094526840863181,0.6458087431503952,0.5861104445534122,0.6270532830386926,0.6159579862410709,0.6159595938519036,0.6610207835043435
Logistic Regression,Test set,5630,1788,1580,1235,1027,0.5914654316903738,0.6351687388987567,0.5612788632326821,0.6125385405960946,0.5982238010657194,0.5982238010657194,0.6319725903795008
Logistic Regression,Entire population,18764,6093,5472,3910,3289,0.6091172648205538,0.6494350884672778,0.5832445107652953,0.6286303843177715,0.6163397996162865,0.6163397996162865,0.6568028210789847
Random Forest,Train set,13134,5191,4973,1594,1376,0.7650700073691967,0.7904674889599512,0.7572712045073854,0.7775614140203715,0.7738693467336684,0.7738693467336684,0.8650659474261265
Random Forest,Validation(CV),13134,4221,4046,2521,2346,0.6250366785391875,0.6430670464306705,0.6141310232182333,0.6338783402793611,0.6285972229913103,0.6285990348244519,0.6781665704500703
Random Forest,Test set,5630,1786,1673,1142,1029,0.6099726775956285,0.6344582593250444,0.5943161634103019,0.6219745777468222,0.6143872113676732,0.6143872113676732,0.6584257766532373
Random Forest,Entire population,18764,6977,6646,2736,2405,0.7183156594255122,0.7436580686420806,0.7083777446173524,0.7307672165488348,0.7260179066297164,0.7260179066297165,0.8065770977694149
XGBoost,Train set,13134,6443,887,5680,124,0.5314691083065248,0.9811177097609258,0.13506928582305466,0.6894596040663457,0.5580934977919902,0.5580934977919902,0.7161430215898538
XGBoost,Validation(CV),13134,6346,801,5766,221,0.5244086717445116,0.9677187845233417,0.12227960414587295,0.680196839130278,0.5449971892448534,0.5449991943346074,0.6789546504972035
XGBoost,Test set,5630,2730,305,2510,85,0.5209923664122137,0.9698046181172292,0.108348134991119,0.6778398510242085,0.5390763765541741,0.5390763765541741,0.6613677047282226
XGBoost,Entire population,18764,9173,1192,8190,209,0.5283073201635662,0.9777232999360478,0.1270518013216798,0.6859599925219667,0.5523875506288638,0.5523875506288638,0.699814395104565
LightGBM,Train set,13134,4273,4316,2251,2294,0.6549662783568363,0.650677630577128,0.6572255215471295,0.6528149110075624,0.6539515760621288,0.6539515760621288,0.7117447874040339
LightGBM,Validation(CV),13134,4148,4155,2412,2419,0.6320022862064396,0.6290570469059551,0.6337743047223585,0.6304869603218206,0.6314144723013779,0.6314156758141568,0.6780701122076154
LightGBM,Test set,5630,1712,1760,1055,1103,0.6187206360679436,0.6081705150976909,0.6252220248667851,0.6134002149767108,0.616696269982238,0.616696269982238,0.6597869192255394
LightGBM,Entire population,18764,5985,6076,3306,3397,0.6441717791411042,0.6379236836495417,0.6476231080793008,0.6410325068280405,0.6427733958644213,0.6427733958644213,0.696304684273886
