Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
<<<<<<< HEAD
XGBoost,Train set,128209,63186,57612,7411,0,0.8950238678697395,1.0,0.8860249450194546,0.9446043219243102,0.9421959456824404,0.9430124725097273,0.9908497143741174
XGBoost,Validation(CV),128209,63170,57461,7562,16,0.8935220484369661,0.9999050432579392,0.8842102137324794,0.9437247639206303,0.9412287721389976,0.9420576284952092,0.9621018635438807
XGBoost,Test set,17678,15816,4,1855,3,0.8950257484013355,0.9998103546368291,0.002151694459386767,0.9445207524634219,0.8948976128521325,0.5009810245481079,0.6623799061471384
XGBoost,Entire population,145887,79002,57616,9266,3,0.8950242443467621,0.9999620277197646,0.8614574922998715,0.9445875903463201,0.9364645239123431,0.930709760009818,0.9819484928121128
=======
XGBoost,Train set,112151,55303,50285,6563,0,0.8939158827142534,1.0,0.8845517872220658,0.9439868907304834,0.9414806822944066,0.9422758936110329,0.9771130386382144
XGBoost,Validation(CV),112151,55296,50227,6621,7,0.8932096171957189,0.9999276705391587,0.8836897384786184,0.9435585922200834,0.941008078412278,0.9418087045088885,0.9627878338625534
XGBoost,Test set,26517,23702,0,2815,0,0.8938416864652864,1.0,0.0,0.9439455186284076,0.8938416864652864,0.5,0.6681023013249326
XGBoost,Entire population,138668,79005,50285,9378,0,0.8938936220766437,1.0,0.8428171563615641,0.943974478457237,0.932370842588052,0.921408578180782,0.9625887701813421
>>>>>>> 59b66705 (no message)
