Feature,Category / Metric,Overall Sample,Target (Y) Subgroup,Statistics
num__fe_영업이익_매출,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.26, $p$<0.001"
num__EBITDA대매출액,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.24, $p$<0.001"
num__총자본순이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.20, $p$<0.001"
num__자기자본순이익율,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.19, $p$<0.001"
num__EBITDA대매출액__lag1,Mean ± SD,0.01 ± 0.99,-,"$r$=-0.16, $p$<0.001"
num__EBITDA대매출액__diff1,Mean ± SD,-0.02 ± 0.51,-,"$r$=-0.14, $p$<0.001"
num__매출액순이익율,Mean ± SD,-0.00 ± 0.99,-,"$r$=-0.13, $p$<0.001"
num__매출액총이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.12, $p$<0.001"
num__fe_판관비율__diff1,Mean ± SD,0.01 ± 0.23,-,"$r$=0.09, $p$<0.001"
num__fe_부채_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__부채비율,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__fe_영업현금흐름_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.09, $p$<0.001"
num__경매_거래량_천톤,-1.2628065342310129,"1,208 (21.96%)",-0.00 ± 0.05,"$F$=6.94, $p$<0.001"
num__경매_거래량_천톤,-1.2051580989080553,608 (11.05%),-0.00 ± 0.06,
num__경매_거래량_천톤,-0.2813103634952576,614 (11.16%),0.01 ± 0.05,
num__경매_거래량_천톤,0.3967951366722319,614 (11.16%),0.00 ± 0.06,
num__경매_거래량_천톤,0.4098396731321712,614 (11.16%),-0.00 ± 0.06,
num__경매_거래량_천톤,0.4563371337393742,614 (11.16%),0.00 ± 0.06,
num__경매_거래량_천톤,1.0887867562970763,614 (11.16%),-0.01 ± 0.06,
num__경매_거래량_천톤,1.60741227845434,614 (11.16%),-0.01 ± 0.07,
num__경매_거래대금_억원,-1.1627652792964307,"1,208 (21.96%)",-0.00 ± 0.05,"$F$=6.94, $p$<0.001"
num__경매_거래대금_억원,-1.127132880276532,608 (11.05%),-0.00 ± 0.06,
num__경매_거래대금_억원,-0.4808907344156417,614 (11.16%),0.00 ± 0.06,
num__경매_거래대금_억원,-0.312446666321575,614 (11.16%),0.01 ± 0.05,
num__경매_거래대금_억원,0.7192732507545834,614 (11.16%),-0.00 ± 0.06,
num__경매_거래대금_억원,0.84803578357649,614 (11.16%),0.00 ± 0.06,
num__경매_거래대금_억원,1.2246054550367833,614 (11.16%),-0.01 ± 0.06,
num__경매_거래대금_억원,1.4051969318876336,614 (11.16%),-0.01 ± 0.07,
