Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__총자본회전율,0.0010229037332737435,1.6374471232842425,0.0017670976707776483,-0.02557255059139836,0.03599927979214084,0.3328523646802577,0.3155858513069762,0.4027436901377361,num__fe_영업이익_매출,0.004302183497874446,6.8868631165218535,0.009821779792107037,-0.2144199232801865,-0.6940531980954154,-0.8702323694744035,-0.9104004740383765,-0.8860911251347511
num__fe_판관비율,0.0009792265727652427,1.5675294580128722,0.001950792004643417,0.002869896780197226,-0.007513999218058382,0.277197794163882,0.6036798015529776,0.795183290098169,num__EBITDA대매출액,0.0042716709891596925,6.838019204828173,0.008643709878766451,-0.2192429143551336,-0.6256322219700179,-0.7484036884368414,-0.946179911744826,-0.8132689177861562
num__협의_거래대금_억원,0.0009414111845858554,1.5069952194760343,0.001376475653819809,0.0006115215279194253,0.042368080620070865,0.2329319476171198,-0.01027747923942714,0.5503451276917206,num__영업이익손실_연결,0.0016231160085500313,2.598256856929072,0.0032622897823246094,-0.07097895323503012,-0.15030677827357725,-0.37082603203224185,-0.7473114565722343,-0.5097453084614032
num__fe_운영탄소집약도_변화,0.000936463320070154,1.499074761026141,0.0020827362650870105,-0.006938646225127796,0.07660602142482902,0.4017553614338119,0.3708098160991297,0.3125812735980557,num__EBITDA대매출액__lag1,0.001477997239939991,2.365953168453365,0.0029497534238468784,-0.13596361214199135,-0.35678871984742533,-0.7873519359596068,-0.7983486366756517,-0.8762197650468263
num__경쟁_거래량_천톤,0.0007729507957138076,1.2373266571538948,0.0013618495752311453,-0.0006115215279194194,-0.04236808062007085,0.11416483589967662,0.2560284181022353,0.1877778825667715,num__경매_거래량_천톤,0.001249896737181077,2.0008137130845776,0.0018248196178214473,-0.0006115215279194268,-0.04236808062007084,-0.372951865838831,-0.4986769087956188,-0.6878306364594681
num__fe_영업현금흐름_자산,0.0006230612165637338,0.9973859352600861,0.0012387111456337262,-0.07537904592113999,-0.31591019203203424,0.61610679339592,0.7533220795855957,0.7214263407846243,num__fe_Scope3_매출집약도__diff1,0.0011568497231551503,1.8518656151444868,0.0020817549285587866,-0.04653232307563216,-0.004466362214287109,-0.470815491190727,-0.707782612136244,-0.4457691919824227
num__변동성,0.0006163465218086925,0.9866371646253506,0.0011800804873995816,0.07995388727388153,0.041256838462782615,0.04909301016280641,0.2510109926413129,-0.495401350212509,num__EBITDA대매출액__diff1,0.0010751226564166033,1.7210382987779722,0.0036618743745326244,-0.11099445136040342,-0.40626262361099086,-0.7902396782779484,-0.47823871858552275,-0.7545427701899654
num__배출권_시장총수량,0.000601395274394977,0.9627034587733379,0.0010485115224272744,0.0006115215279194117,0.04236808062007085,0.32619575570926307,0.39031330878524756,-0.009071159384686368,num__경쟁_평균가격_원_tCO2eq,0.0008829642002380437,1.4134342681647423,0.0011292365475460639,0.0006115215279193957,0.042368080620070844,-0.0064458629957032,0.008440930354751344,-0.13766412836901135
num__fe_signed_log1p_연간급여총액,0.0005871786579730134,0.9399457378796259,0.003140797272463551,0.04903714379078349,-0.013491884393067848,0.5548989637209761,0.47886643101415666,0.561467090411421,num__종업원수증가율,0.0007661644958596981,1.2264632622787077,0.001793341820046976,-0.040747365306712316,-0.1596591841342582,-0.7349290893749044,-0.7548640368067927,-0.7361024725698079
num__fe_감가상각부담,0.000565359917102113,0.9050186637957354,0.0011017545951350334,-0.09613383641662551,0.0686869536912343,0.5857905780606081,0.7289924911223814,0.6011795336622587,num__당기순이익지배기업지분_연결,0.0006559080849533619,1.0499666507310883,0.0012967105563330321,-0.06371493060596532,-0.21598554084837646,-0.5134847520908545,-0.799193169466096,-0.40425548334679695
