Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__협의_거래량_천톤,0.0005821358649769415,1.9903385575282546,0.0007461452015299947,-1.8558646805898962e-17,-5.922735343734368e-17,1.981120336021901e-16,,6.219593671275035e-16,num__fe_영업이익_매출,0.0018272258582298004,6.247335540976302,0.0037981214723338996,-0.1952991123561079,-0.7359827927550078,-0.9077033968760675,-0.983796653937951,-0.8923334615798894
num__feature_year,0.00048149264484136827,1.646236615625792,0.0005011298261763537,-1.8558646805898962e-17,-5.922735343734368e-17,2.1217705218386566e-16,,-2.892678710887489e-16,num__EBITDA대매출액,0.0016177196070769797,5.5310278973488565,0.0031613147116825125,-0.20036652079978043,-0.6695841341026967,-0.8119064081107437,-0.9748256060936228,-0.814439665704604
num__fe_판관비율__diff1,0.00031540283704835836,1.078370987769349,0.0006237334803153797,-0.0898647072048487,0.19604725471128284,0.9099137825857916,0.9485243009833814,0.9546679779903936,num__영업이익손실_연결,0.0014878842277051664,5.087117158907644,0.0025387048811266687,-0.03523320550745857,-0.15817141432326626,-0.25706430034680133,-0.968030446103208,-0.2241193881676798
num__매출원가_연결,0.0003105876692002833,1.0619077962609993,0.0006522178140809465,0.02559863132447084,0.03122193311126886,0.19156127473205598,0.9426193170645989,0.17804490412807605,num__영업이익이자보상비율,0.0012837329805404558,4.389118421421336,0.0018956554890940626,-0.008809419924663331,-0.15364207588190587,-0.13466240774221813,-0.9102439284111024,-0.12040986368951041
num__매입채무_연결,0.0002068107867288146,0.7070917765140906,0.0004109109005129188,0.03383052627968363,0.049807053697777624,0.21928089159979045,0.9085438803503354,0.20081453435236543,num__EBITDA대금융비용,0.0010213519378983345,3.4920304092340704,0.0014891205413314597,-0.008726138283181134,-0.14491643572129206,-0.09405152051609833,-0.879060773184317,-0.09327880694822628
num__Scope2사업장간접배출량_tCO2e,0.00019461405990265572,0.6653908315315911,0.00040561263901937525,0.028074304500174292,0.04530799907103563,0.13585428074954572,0.7969104792978858,0.12899724018765174,num__EBITDA대매출액__lag1,0.0009755148123623739,3.335312014424125,0.0020787102283604357,-0.12512243235159565,-0.4525167387205286,-0.7675770591772941,-0.856671839718839,-0.8323832876948658
num__기말종가,0.0001914200806569497,0.6544705285110488,0.00032048651746550337,0.0745929133338706,-0.08601212062902273,0.32985865897736455,0.788021405429053,0.24604447534506355,num__매출액총이익율,0.0008091782333704574,2.766602669041206,0.0016114480425251693,-0.05527320467701763,-0.3580966938040528,-0.705587296073939,-0.9295513595293968,-0.6373319783201076
num__총매출_백만USD,0.0001863338643116445,0.6370806147245268,0.0003469047441816797,0.0319441747397056,0.006336576296000098,0.2255099019850366,0.8257613486085008,0.2317768440372376,num__법인세비용차감전계속영업이익손실_연결,0.0006466303276648642,2.2108469019847923,0.0011511143198832871,-0.03477821962398244,-0.20618524769412247,-0.34781563741210164,-0.9482296303899458,-0.3155394459382616
num__무형자산상각비_연결,0.0001797060080320834,0.6144197915376772,0.0003299264360353833,0.06196991453547774,0.002434570551758786,0.3331071628741384,0.7959224277064363,0.5841908187598467,num__매출액순이익율,0.0006446420226760103,2.2040488324592213,0.001280912424424014,-0.13141410385242572,-0.4726927369153526,-0.679899535568819,-0.9421197856157725,-0.7529830739719119
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,0.00017908765060740462,0.6123056104697907,0.0003817243587460867,0.0020988894261622214,0.06547766535509601,0.5855393561955047,0.7947174501445108,0.5962698388635559,num__총자본순이익율,0.0005772956511328987,1.9737897330697889,0.001226590268349732,-0.18897741021888637,-0.646654818451714,-0.8912737855173883,-0.9211841787843225,-0.9110992284477634
num__fe_판관비율,0.00016633013530783193,0.5686873142495399,0.0003346588813791354,-0.010182216604002751,-0.09070707250396119,0.39432565921048873,0.7280006137133561,0.4862331906275751,num__당기순이익지배기업지분_연결,0.0005294913125512711,1.8103453826690148,0.0009847523853327152,-0.03369920318735163,-0.22699065839293278,-0.3502288133953211,-0.9454087932363698,-0.34815107373422527
num__fe_Scope1_2_tCO2e,0.0001549468798654407,0.5297676503355461,0.00032047620236851185,-0.013619782335186984,-0.009612764868510643,0.10491889066300597,0.678083868109839,0.11841928459005811,num__EBITDA,0.00048529437816196723,1.6592348465692293,0.0008110999034830234,-0.011188483859566035,-0.12042291732391665,-0.13895537740305472,-0.9151861596775742,-0.12588747866481617
num__fe_signed_log1p_Scope3협력사간접배출량_tCO2e,0.00014567675982540604,0.49807285456939415,0.00030918985511046076,0.0076343336378830486,0.06980226049454916,0.7231802064499351,0.8501074526126237,0.7542366833022759,num__자기자본순이익율,0.0004781414469162367,1.6347787776096405,0.0012228550621519885,-0.17497477089271984,-0.5983190288501298,-0.8638268420439951,-0.9528279289269749,-0.8787792666637106
num__수익_연결,0.00014532451443876744,0.4968685178897325,0.0002871658917830061,0.029603390345076256,0.011479528726916672,0.0711085589931734,0.4263021803693392,0.0567226278523048,num__EBITDA대매출액__diff1,0.00042179028518233566,1.4421126034254805,0.0008530001133682758,-0.11161362855151485,-0.35494560945752124,-0.8834650270623657,-0.9570125936031018,-0.9034582578087826
num__총자본회전율,0.0001435789541567584,0.490900399203367,0.000302879202531405,-0.019303356087021207,0.05850813217209986,0.4542881994225915,0.8106258163614134,0.5925569975368449,num__종업원수증가율,0.00035844938454865566,1.2255483194077406,0.0008165332286256164,-0.047605040745441134,-0.14442082422370722,-0.6616224470918076,-0.7112315340420722,-0.6997456327760686
