Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__fe_영업이익_매출,0.0016701456972045285,5.884489966110612,0.003430058100982224,-0.26252523868503685,-0.6106142740984795,-0.8847293933621733,-0.975344319011141,
num__EBITDA대매출액,0.0015367674917440126,5.414553293493403,0.0030283527465290168,-0.2375925343864838,-0.5507237210059323,-0.7831963763102004,-0.9638390043458935,
num__영업이익손실_연결,0.001145659043350453,4.03654552801212,0.001918516520194452,-0.0520810883334172,-0.11180622111870177,-0.2399480196185525,-0.9703965185522703,
num__EBITDA대매출액__lag1,0.0010073878249907985,3.5493691107683043,0.0021286522965719592,-0.14951310085118535,-0.374274388862124,-0.732596353901042,-0.8541244811805635,
num__영업이익이자보상비율,0.0009813835242322882,3.457747136023644,0.001604985676283955,-0.04004360514834252,-0.1138110274590438,-0.12472315985828274,-0.8873756941125187,
num__EBITDA대금융비용,0.0007762046707845005,2.7348324188271302,0.001251897324448163,-0.031655524387240626,-0.10012223531566768,-0.08933931585854968,-0.8476055401390321,
num__매출액총이익율,0.000711166980280037,2.505682568108654,0.0014199924841043505,-0.11588972899049158,-0.293866161958744,-0.6389561243291766,-0.889625583845224,
num__매출액순이익율,0.0005927959539018947,2.088621279284406,0.00118666486777841,-0.12803673954379818,-0.36404917095755646,-0.6383060660192825,-0.8830947028512383,
num__총자본순이익율,0.0005069461430604486,1.7861432671357937,0.0010855069357167107,-0.19772742901636156,-0.5072932481075646,-0.8393937506577276,-0.8327566067202578,
num__법인세비용차감전계속영업이익손실_연결,0.00047506301014349587,1.6738081720288167,0.0008455942771813517,-0.05994819517875991,-0.13581635900247319,-0.3147552693271604,-0.8920034590108887,
num__당기순이익지배기업지분_연결,0.0004624606764017991,1.629405874327055,0.0008403127513175199,-0.06454827903175389,-0.1504043496512093,-0.32390952897291225,-0.9063485514742593,
num__자기자본순이익율,0.0004316858971385873,1.5209758852029014,0.0011584893582147191,-0.193628098235523,-0.48902559091889436,-0.8296175177040657,-0.85396572722855,
num__EBITDA대매출액__diff1,0.0004210600403884192,1.4835373865543395,0.000842920666874196,-0.15485850062452491,-0.317750614206898,-0.8826699056112381,-0.928051009794773,
num__경쟁_거래량_천톤,0.00041654883429914706,1.4676428768646692,0.0006242143083019108,0.0020053755308574277,0.00457803116727339,-0.4226346069261566,-0.5984274919257963,
num__EBITDA,0.00037312781142715063,1.3146558806785322,0.0006201515532442581,-0.025832101580621127,-0.06863410574377934,-0.13575016569687162,-0.8442265365513257,
num__매출원가_연결,0.0003508506981551047,1.2361660520709563,0.0006613270398349606,0.016657927442406063,0.041339904574171416,0.20474162796758405,0.9296380462179008,
num__종업원수증가율,0.00034475137082948276,1.214676052421392,0.0007511002625800689,-0.06485964644270946,-0.1466710804543125,-0.6148730664253511,-0.7233380088383742,
num__협의_거래량_천톤,0.00028651346423450236,1.0094841475600034,0.0005031025916113702,0.03806837429249439,0.07097347677797738,0.5234594478407772,0.8025928399952253,
num__경매_거래대금_억원,0.00028211965722471985,0.9940032746604904,0.0003819082292355195,-0.04484044732925548,-0.08809646226830754,-0.575564899076934,-0.47557361436910306,
num__fe_판관비율__diff1,0.00026864909659554155,0.9465419190476471,0.0005593597692201838,0.10166565638004393,0.19016357528663091,0.8150331341054673,0.8942770602744404,
num__경매_거래량_천톤,0.0002594668198469699,0.9141896425465846,0.00035783127149479417,-0.046980850159797555,-0.0940239111826202,-0.5554597697502901,-0.368965250940014,
num__매입채무_연결,0.00022921851710479225,0.8076146088377603,0.0004211934106748338,0.016352331916338763,0.04598382602086432,0.2020505240617058,0.8759427561239349,
num__feature_year,0.00021016471077381466,0.7404815842408519,0.00040272319421484165,-0.0339751898676609,-0.06738630647129501,-0.6530638904228141,-0.6883143238025828,
num__fe_Scope3_매출집약도__diff1,0.00020531684594514592,0.7234009115851007,0.0004059563947473928,-0.013250053194060933,-0.0013854885386304823,-0.6056230437802248,-0.43273736843681126,
num__KSIC중분류_EBITDA대매출액,0.00020498547859784314,0.7222333919887184,0.000410757366523716,-0.050326211546413965,-0.13915976197530466,-0.7214710288946801,-0.7516687240184573,
num__무형자산상각비_연결,0.0001987464260122514,0.7002510928399663,0.0003489080742429859,0.016408320417172745,0.025631138647954774,0.3250064679162278,0.7683315182843989,
num__fe_재고자산비중__diff1,0.00019561769491493019,0.689227511616088,0.0003679683729852605,-0.006491486044245368,-0.019721238466314038,-0.32874363464070117,-0.6513362246551294,
num__매출총이익손실_연결,0.00019497719305203295,0.6869708062329574,0.0003846749189107834,-0.015616585967269146,-0.041499270734607054,-0.09433007371344775,-0.7484107493505493,
num__당좌비율,0.00019335936321241415,0.6812706427837171,0.00041908897771920624,-0.0696497078418151,-0.18025696104918862,-0.5197242738372791,-0.4566070334291229,
num__경쟁_평균가격_원_tCO2eq,0.00019143568838448906,0.6744928836684904,0.0004024495853290729,0.0018424966942390437,0.005342653036714837,0.6227167956451684,0.7157884107060877,
num__Scope2사업장간접배출량_tCO2e,0.00018189946469313758,0.6408935319949985,0.00035987810663053437,0.004279911794100906,0.008314848298334482,0.1200554806612794,0.7621531870713634,
num__총매출_백만USD,0.0001813511054424399,0.6389614762983276,0.00035226489799032156,0.010749575122268842,0.026681694430980826,0.23084486485697892,0.7639287816912544,
num__기말종가,0.00018017354872907034,0.6348125444560653,0.00032851004022465516,-0.029185509381163367,-0.07473256960298981,0.26538950945961226,0.7139340906970327,
num__fe_현금_자산,0.00017962971727835566,0.6328964417350018,0.0003156201033525888,-0.04713993353645716,-0.1104668924780109,-0.609958200666716,0.09234543264867912,
num__fe_유동자산_유동부채,0.00017884629529452226,0.6301361802734933,0.0003519240353474025,-0.07052290763781272,-0.1801291571726561,-0.48532221292465183,-0.696778586583294,
num__fe_판관비율,0.00017592908650223633,0.6198578638990662,0.00035393643582157014,-0.01856392357721266,-0.06336124234265869,0.407492304708432,0.7354558150458232,
num__fe_운영탄소집약도_변화,0.00017565914746800262,0.6189067770920477,0.000362362619108758,0.02430131183558096,0.04377394380932864,0.2491185430863783,0.2817756438987312,
num__fe_Scope1_2_매출집약도__diff1,0.00017502723255404692,0.6166803264435613,0.0003606623392461609,0.021388447437283218,0.040042151596685276,0.3724896356823741,0.6187325271873152,
num__fe_영업현금흐름_자산,0.00016848767629580372,0.5936392508961652,0.0003306041716722074,-0.08741915039245766,-0.27657646350990295,-0.06847949210560121,0.23718452809503476,
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,0.00016301159765765572,0.5743451678387704,0.0003384770684867639,0.028251697940103408,0.061889405640677755,0.5140062087911833,0.7481297340914038,
num__수익_연결,0.0001626632243158546,0.5731177303536934,0.0003108788037357667,0.011069654797638115,0.02708346813661109,0.0696268879269968,0.4040546052044609,
num__종업원1인당인건비증가율,0.0001593064732670184,0.5612907574742195,0.00019869936461238658,0.015959520261083996,0.011064062452566147,-0.29648064601874674,-0.4450577705331685,
num__총자본회전율,0.00015508728358460463,0.5464251206661028,0.00035197912795419106,0.02089844587457151,0.05401829933507266,0.4240886132661961,0.6972637574392545,
num__판매비와관리비_연결,0.00015319396719687948,0.539754324636218,0.0002752355489119394,0.010222439819335263,0.004409026404011612,0.1755699214476619,0.7654031866134872,
num__유동비율,0.00015300790806234695,0.5390987751760166,0.00029881400641115557,-0.06854447831411277,-0.17803403138310764,-0.43253398293763273,-0.6966432725935398,
num__부채비율,0.00014946901711289398,0.5266300616272097,0.0002945629036720051,0.08794125535839607,0.24341459751423974,0.20493719531778234,0.2948858861060683,
num__배출권_시장총수량,0.00014500629179091016,0.5109063661300585,0.00022936655901898675,-0.0045143195959237515,-0.02487931360056327,0.2267896293457321,-0.08259728049306717,
num__Scope3협력사간접배출량_tCO2e,0.00014340954382626223,0.5052804812793503,0.0003179176611251327,0.003902405425906168,0.010166561682163393,0.08434397066700668,0.45996421759720196,
