Algorithm,Hyperparameter,Tuning Range,Best Value
MLP,scaler_type,Optuna Auto,MinMaxScaler
MLP,n_layers,Optuna Auto,2
MLP,l2_regularization,Optuna Auto,2.2075181064583877e-05
MLP,batch_normalization,Optuna Auto,False
MLP,hidden_activation,Optuna Auto,swish
MLP,dropout,Optuna Auto,0.0744874425107298
MLP,batch_size,Optuna Auto,256
MLP,optimizer,Optuna Auto,adamw
MLP,learning_rate,Optuna Auto,0.00305281037907099
MLP,first_layer_nodes,Optuna Auto,192
MLP,shape,Optuna Auto,constant
CNN,scaler_type,Optuna Auto,StandardScaler
CNN,n_layers,Optuna Auto,2
CNN,l2_regularization,Optuna Auto,0.00039071643331791225
CNN,batch_normalization,Optuna Auto,False
CNN,hidden_activation,Optuna Auto,selu
CNN,dropout,Optuna Auto,0.40839050633397567
CNN,batch_size,Optuna Auto,128
CNN,optimizer,Optuna Auto,adamw
CNN,learning_rate,Optuna Auto,0.003488746393518269
CNN,base_filters,Optuna Auto,64
CNN,kernel_size,Optuna Auto,3
TabNet,scaler_type,Optuna Auto,None
TabNet,n_layers,Optuna Auto,3
TabNet,l2_regularization,Optuna Auto,0.0005747958108848801
TabNet,batch_normalization,Optuna Auto,False
TabNet,hidden_activation,Optuna Auto,relu
TabNet,dropout,Optuna Auto,0.1272840674129715
TabNet,batch_size,Optuna Auto,128
TabNet,optimizer,Optuna Auto,adamw
TabNet,learning_rate,Optuna Auto,0.0038959733816387905
TabNet,batch_size_tabnet,Optuna Auto,128
TabNet,n_d,Optuna Auto,16
TabNet,n_steps,Optuna Auto,4
TabNet,gamma,Optuna Auto,1.1985707278579367
TabNet,n_independent,Optuna Auto,2
TabNet,n_shared,Optuna Auto,1
TabNet,mask_type,Optuna Auto,sparsemax
