Algorithm,Hyperparameter,Tuning Range,Best Value
Linear Regression,fit_intercept,Optuna Auto,False
Linear Regression,n_jobs,Optuna Auto,-1
Linear Regression,scaler_type,Optuna Auto,Normalizer
Random Forest,n_estimators,Optuna Auto,400
Random Forest,max_depth,Optuna Auto,
Random Forest,max_features,Optuna Auto,sqrt
Random Forest,min_samples_split,Optuna Auto,9
Random Forest,min_samples_leaf,Optuna Auto,15
Random Forest,bootstrap,Optuna Auto,False
Random Forest,random_state,Optuna Auto,123
Random Forest,n_jobs,Optuna Auto,-1
Random Forest,scaler_type,Optuna Auto,StandardScaler
XGBoost,n_estimators,Optuna Auto,300
XGBoost,max_depth,Optuna Auto,7
XGBoost,learning_rate,Optuna Auto,0.02577702778954238
XGBoost,subsample,Optuna Auto,0.5812013401705803
XGBoost,colsample_bytree,Optuna Auto,0.7336321102395217
XGBoost,reg_alpha,Optuna Auto,0.19297315547971822
XGBoost,reg_lambda,Optuna Auto,0.05839036805856842
XGBoost,random_state,Optuna Auto,123
XGBoost,n_jobs,Optuna Auto,1
XGBoost,tree_method,Optuna Auto,hist
XGBoost,device,Optuna Auto,cuda:1
XGBoost,verbosity,Optuna Auto,0
XGBoost,scaler_type,Optuna Auto,Normalizer
LightGBM,n_estimators,Optuna Auto,200
LightGBM,learning_rate,Optuna Auto,0.06948405264226461
LightGBM,num_leaves,Optuna Auto,67
LightGBM,max_depth,Optuna Auto,4
LightGBM,subsample,Optuna Auto,0.5715303893253758
LightGBM,colsample_bytree,Optuna Auto,0.6029755836837876
LightGBM,reg_alpha,Optuna Auto,0.001511172703128813
LightGBM,reg_lambda,Optuna Auto,0.003326240393518881
LightGBM,random_state,Optuna Auto,123
LightGBM,n_jobs,Optuna Auto,1
LightGBM,verbose,Optuna Auto,-1
LightGBM,scaler_type,Optuna Auto,StandardScaler
CatBoost,iterations,Optuna Auto,300
CatBoost,depth,Optuna Auto,6
CatBoost,learning_rate,Optuna Auto,0.10165319712866946
CatBoost,l2_leaf_reg,Optuna Auto,7.103584038061668
CatBoost,random_state,Optuna Auto,123
CatBoost,verbose,Optuna Auto,0
CatBoost,allow_writing_files,Optuna Auto,False
CatBoost,task_type,Optuna Auto,GPU
CatBoost,devices,Optuna Auto,1
CatBoost,bootstrap_type,Optuna Auto,Bernoulli
CatBoost,subsample,Optuna Auto,0.5023333410855003
CatBoost,scaler_type,Optuna Auto,StandardScaler
