Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
MLP,Train set,0.059492609758728665,0.003539370615904377,0.039273859241621724,0.039273859241621724,0.02401831459837149,0.02401831459837149,0.018026457388465644
MLP,Validation(CV),0.06149806999540844,0.003782012613160156,0.039880593391722494,0.039880593391722494,0.023407775648706608,0.023407775648706608,-0.026823128074770608
MLP,Test set,0.056983941746459925,0.0032471696169639385,0.036989318178130434,0.036989318178130434,0.02200327863387573,0.02200327863387573,-0.13080700922667532
MLP,Entire population,0.0592454745656409,0.0035100262565080026,0.03904443362615171,0.03904443362615171,0.023798077044033285,0.023798077044033285,0.006141486505904958
CNN,Train set,0.059996163993565416,0.0035995396939427953,0.03830883879338801,0.03830883879338801,0.022045208803928337,0.022045208803928337,0.001332968876255003
CNN,Validation(CV),0.060539378762762566,0.003665016380981227,0.03760590280398658,0.03760590280398658,0.019710599927773166,0.019710599927773166,0.004941556337148323
CNN,Test set,0.053451053874414886,0.0028570151602856026,0.0327455822332684,0.0327455822332684,0.017744632213553324,0.017744632213553324,0.005061900111480555
CNN,Entire population,0.05937147024799063,0.0035249714794080363,0.037750147342960554,0.037750147342960554,0.021644436027276046,0.021644436027276046,0.0019097697238080746
TabNet,Train set,0.06109664655589854,0.0037328002203763887,0.039986503156305184,0.039986503156305184,0.024246824447454702,0.024246824447454702,-0.03563922913099904
TabNet,Validation(CV),0.06114274968563776,0.003738435839120556,0.03930328606486552,0.03930328606486552,0.023244166315142978,0.023244166315142978,-0.014991956683366725
TabNet,Test set,0.054802019460496024,0.003003261336948585,0.03482432249661814,0.03482432249661814,0.020724982765288204,0.020724982765288204,-0.04586743871305776
TabNet,Entire population,0.060494099654908436,0.0036595360930579933,0.039468089854858036,0.039468089854858036,0.023952124664645275,0.023952124664645275,-0.03619199280377616
