Algorithm,Dataset,RMSE,MSPE,MAE,MAPE,MedAE,MedAPE,R2
Linear Regression,Train set,0.05509354506889761,0.0030352987082586523,0.03614957391938962,0.03614957391938962,0.02257948605354378,0.02257948605354378,0.15787767123354313
Linear Regression,Validation(CV),0.05949654066362162,0.0035398383509379814,0.038455555733805324,0.038455555733805324,0.023724077219157876,0.023724077219157876,0.03892761337143247
Linear Regression,Test set,0.0534166510579395,0.002853338610245669,0.0340269519200368,0.0340269519200368,0.021115431697197116,0.021115431697197116,0.006342236233502052
Linear Regression,Entire population,0.054927455059248904,0.003017025319285808,0.03593640906698487,0.03593640906698487,0.0223476928077257,0.0223476928077257,0.14573394046842958
Random Forest,Train set,0.04484124175703834,0.002010736962313159,0.027837726700025045,0.027837726700025045,0.015476388775108835,0.015476388775108835,0.44213513858364684
Random Forest,Validation(CV),0.056843130446953334,0.0032311414790093533,0.035140647339750905,0.035140647339750905,0.018938141322594,0.018938141322594,0.12273936126398988
Random Forest,Test set,0.05052557243718786,0.002552833470105518,0.031121818806125093,0.031121818806125093,0.01768018198614024,0.01768018198614024,0.11099131800732343
Random Forest,Entire population,0.0454442201114578,0.002065177141538626,0.02816753248235174,0.02816753248235174,0.015699685490154505,0.015699685490154505,0.41524828192210894
XGBoost,Train set,0.02970348514674797,0.0008822970298630773,0.02052557839490415,0.02052557839490415,0.01385309197922964,0.01385309197922964,0.7552128798953424
XGBoost,Validation(CV),0.05602751641896538,0.0031390825960774353,0.03519336958663286,0.03519336958663286,0.019328490028466434,0.019328490028466434,0.14773351115399658
XGBoost,Test set,0.05091957491884268,0.002592803109915632,0.03133993174690287,0.03133993174690287,0.018945149591748353,0.018945149591748353,0.09707213478467347
XGBoost,Entire population,0.03246652178158146,0.001054075036593903,0.02161161257189585,0.02161161257189585,0.01415650806430748,0.01415650806430748,0.7015402813474476
LightGBM,Train set,0.040806179779241086,0.001665144308175744,0.027644194285910716,0.027644194285910716,0.018216279456436446,0.018216279456436446,0.5380173955473264
LightGBM,Validation(CV),0.056875611702804925,0.0032348352065682405,0.03545600312494406,0.03545600312494406,0.018807352505118,0.018807352505118,0.12173650768463506
LightGBM,Test set,0.05291103515323089,0.0027995776409864346,0.03266937176387336,0.03266937176387336,0.02038901212393676,0.02038901212393676,0.02506416580058224
LightGBM,Entire population,0.04217902397188498,0.0017790700632208478,0.02814884900810061,0.02814884900810061,0.018355513943536204,0.018355513943536204,0.49625905927165925
CatBoost,Train set,0.037857356601983624,0.001433179448889753,0.026395867493020676,0.026395867493020676,0.017725284606081818,0.017725284606081818,0.6023744181238524
CatBoost,Validation(CV),0.056124712496878865,0.0031499833528573105,0.03489365078498757,0.03489365078498757,0.01970811064147196,0.01970811064147196,0.14477393636671387
CatBoost,Test set,0.05163153764572157,0.0026658156796615638,0.03169634946925014,0.03169634946925014,0.018098785444595776,0.018098785444595776,0.07164595279558894
CatBoost,Entire population,0.03945842438388359,0.001556967254858659,0.026928169739243255,0.026928169739243255,0.017772851320503102,0.017772851320503102,0.5591471264342434
