Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
num__fe_영업이익_매출,7.7808191772115,7.780819177211497,7.780819177211497
num__EBITDA대매출액,7.318086228821769,7.318086228821766,15.098905406033264
num__EBITDA대매출액__diff1,3.766674013266815,3.766674013266813,18.865579419300076
num__총자본회전율,3.1114345297041828,3.1114345297041814,21.977013949004256
num__EBITDA대매출액__lag1,3.026039734455426,3.026039734455425,25.00305368345968
num__fe_signed_log1p_Scope1직접배출량_tCO2e,2.4842194689708896,2.4842194689708883,27.487273152430568
num__fe_운영탄소집약도_변화,2.396971433362703,2.396971433362702,29.88424458579327
num__fe_판관비율__diff1,1.9229849347004921,1.9229849347004915,31.80722952049376
num__fe_Scope3_매출집약도__diff1,1.8064795328201753,1.8064795328201746,33.61370905331393
num__fe_영업현금흐름_자산,1.7051363054516686,1.705136305451668,35.3188453587656
num__fe_signed_log1p_연간급여총액,1.4411233526789433,1.4411233526789426,36.75996871144454
num__fe_현금_자산,1.2872496067127028,1.2872496067127024,38.04721831815725
num__변동성,1.2744846588194039,1.2744846588194034,39.32170297697665
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,1.2661496944198818,1.2661496944198813,40.58785267139653
num__경매_거래대금_억원,1.2323639818673426,1.2323639818673422,41.82021665326388
num__영업이익손실_연결,1.0487087903912848,1.0487087903912844,42.86892544365516
num__종업원수증가율,1.0434161720246216,1.0434161720246211,43.91234161567978
num__평균근속월수,0.9719504481484468,0.9719504481484463,44.88429206382823
num__매출액순이익율,0.9402175830646777,0.9402175830646774,45.824509646892906
cat__NICS산업분류_N45100.소프트웨어_및_IT서비스,0.9252270262482838,0.9252270262482833,46.74973667314119
num__당좌비율,0.9122359267035468,0.9122359267035465,47.66197259984474
num__배출권_시장총수량,0.9000611652088351,0.9000611652088347,48.56203376505357
num__매출채권회전율,0.8509912243499085,0.8509912243499081,49.41302498940348
num__총자본순이익율,0.81587187953475,0.8158718795347497,50.22889686893823
num__매입채무회전율,0.8126143116327018,0.8126143116327015,51.04151118057093
num__fe_시장지배력__diff1,0.8007712548569791,0.8007712548569788,51.842282435427904
num__평균시가총액,0.7894962682354574,0.789496268235457,52.631778703663365
num__fe_유동자산_유동부채,0.7865474703416466,0.7865474703416463,53.41832617400501
num__fe_재고자산비중__diff1,0.7632090728311663,0.763209072831166,54.18153524683618
cat__Trucost산업_Semiconductors_and_Semiconductor_Equipment,0.7627972593221882,0.7627972593221879,54.94433250615837
num__fe_재고자산비중__lag1,0.7567847864336456,0.7567847864336452,55.701117292592016
num__fe_감가상각부담,0.7533073077879627,0.7533073077879624,56.45442460037998
num__fe_signed_log1p_종업원평균급여,0.7445628662937258,0.7445628662937255,57.19898746667371
num__자본집약도_종업원1인당,0.7374071710569747,0.7374071710569744,57.93639463773068
num__KSIC대분류_EBITDA대매출액,0.7352052684223712,0.7352052684223709,58.67159990615305
num__협의_거래대금_억원,0.7072014420270375,0.7072014420270372,59.37880134818008
num__매출액총이익율,0.6919894969097156,0.6919894969097152,60.070790845089796
num__자기자본순이익율,0.6773815715209098,0.6773815715209096,60.74817241661071
num__fe_배출권_잠재탄소비용_원,0.6687426343094615,0.6687426343094611,61.41691505092017
num__종업원평균급여,0.655043499660182,0.6550434996601817,62.07195855058035
num__소계_평균가격_원_tCO2eq,0.6539981098392054,0.653998109839205,62.725956660419556
num__fe_시장지배력,0.6477799865005438,0.6477799865005436,63.3737366469201
num__fe_판관비율__lag1,0.6434908455796389,0.6434908455796386,64.01722749249974
num__경매_거래량_천톤,0.6427988475993199,0.6427988475993196,64.66002634009907
