Feature,Category / Metric,Non-purchased,Purchased,Statistics
캠페인 지속 시간(평균),Mean ± SD,5.44 ± 50.45,20.48 ± 7.92,"$T$=-184.08, $p$<0.001"
메시지 수신: 미정의/기타,0,"308,826 (3.87%)","1,700 (17.22%)","$\chi^2$=4709.65, $p$<0.001"
메시지 수신: 미정의/기타,1,"7,680,765 (96.13%)","8,172 (82.78%)",
발송 채널: 모바일 푸시,0,"5,118,139 (64.06%)","9,550 (96.74%)","$\chi^2$=4574.03, $p$<0.001"
발송 채널: 모바일 푸시,1,"2,871,452 (35.94%)",322 (3.26%),
발송 채널: 이메일,0,"2,874,149 (35.97%)",322 (3.26%),"$\chi^2$=4581.60, $p$<0.001"
발송 채널: 이메일,1,"5,115,442 (64.03%)","9,550 (96.74%)",
캠페인 주제: 할인 정보,0,"703,325 (8.80%)","8,171 (82.77%)","$\chi^2$=66561.25, $p$<0.001"
캠페인 주제: 할인 정보,1,"7,286,266 (91.20%)","1,701 (17.23%)",
캠페인 주제: 기타,0,"7,304,708 (91.43%)","1,734 (17.56%)","$\chi^2$=67972.34, $p$<0.001"
캠페인 주제: 기타,1,"684,883 (8.57%)","8,138 (82.44%)",
주제 노출 수(7일),0,"2,393 (0.03%)",0 (0.00%),"$\chi^2$=68053.13, $p$<0.001"
주제 노출 수(7일),1,"8,865 (0.11%)",9 (0.09%),
주제 노출 수(7일),2,646 (0.01%),5 (0.05%),
주제 노출 수(7일),3,"6,538 (0.08%)",19 (0.19%),
주제 노출 수(7일),4,"684,883 (8.57%)","8,138 (82.44%)",
주제 노출 수(7일),5,"7,286,266 (91.20%)","1,701 (17.23%)",
메시지 수신: 스마트폰,0,"7,930,303 (99.26%)","9,058 (91.75%)","$\chi^2$=7434.54, $p$<0.001"
메시지 수신: 스마트폰,1,"59,288 (0.74%)",814 (8.25%),
메시지 클릭 여부,0,"7,933,635 (99.30%)","8,242 (83.49%)","$\chi^2$=34465.90, $p$<0.001"
메시지 클릭 여부,1,"55,956 (0.70%)","1,630 (16.51%)",
메시지 오픈 여부,0,"7,246,462 (90.70%)","7,283 (73.77%)","$\chi^2$=3339.06, $p$<0.001"
메시지 오픈 여부,1,"743,129 (9.30%)","2,589 (26.23%)",
마지막 구매 경과일,Mean ± SD,364.52 ± 11.22,305.98 ± 129.04,"$T$=45.08, $p$<0.001"
주말 여부,0,"7,530,276 (94.25%)","7,754 (78.55%)","$\chi^2$=4471.55, $p$<0.001"
주말 여부,1,"459,315 (5.75%)","2,118 (21.45%)",
캠페인 채널: 모바일,0,"5,173,503 (64.75%)","9,550 (96.74%)","$\chi^2$=4420.48, $p$<0.001"
캠페인 채널: 모바일,1,"2,816,088 (35.25%)",322 (3.26%),
캠페인 채널: 이메일,0,"3,218,367 (40.28%)",429 (4.35%),"$\chi^2$=5293.64, $p$<0.001"
캠페인 채널: 이메일,1,"4,771,224 (59.72%)","9,443 (95.65%)",
선호 요일 일치도,-0.9749279022216797,"318,388 (3.99%)","1,076 (10.90%)","$\chi^2$=6423.87, $p$<0.001"
선호 요일 일치도,-0.7818315029144287,"140,927 (1.76%)","1,042 (10.56%)",
선호 요일 일치도,-0.4338837265968323,"2,316,044 (28.99%)","1,715 (17.37%)",
선호 요일 일치도,0.0,"1,134,135 (14.20%)","1,226 (12.42%)",
선호 요일 일치도,0.4338837265968323,"708,551 (8.87%)","1,404 (14.22%)",
선호 요일 일치도,0.7818315029144287,"1,235,672 (15.47%)","1,361 (13.79%)",
선호 요일 일치도,0.9749279022216797,"2,135,874 (26.73%)","2,048 (20.75%)",
캠페인 유형: 기타 거래,0,"7,832,690 (98.04%)","1,841 (18.65%)","$\chi^2$=307695.49, $p$<0.001"
캠페인 유형: 기타 거래,1,"156,901 (1.96%)","8,031 (81.35%)",
캠페인 유형: 전체 유저,0,"559,105 (7.00%)","8,138 (82.44%)","$\chi^2$=85156.18, $p$<0.001"
캠페인 유형: 전체 유저,1,"7,430,486 (93.00%)","1,734 (17.56%)",
최종 클릭 경과 시간(평균),Mean ± SD,4185.34 ± 395.93,3521.90 ± 1632.00,"$T$=40.39, $p$<0.001"
유저 오픈율(30일 내),Mean ± SD,0.03 ± 0.15,0.17 ± 0.37,"$T$=-40.32, $p$<0.001"
성공 캠페인 유사도,0.0,"7,966,314 (99.71%)","8,073 (81.78%)","$\chi^2$=312364.18, $p$<0.001"
성공 캠페인 유사도,0.20000000298023224,"16,890 (0.21%)",98 (0.99%),
성공 캠페인 유사도,0.5,670 (0.01%),4 (0.04%),
성공 캠페인 유사도,1.0,"5,717 (0.07%)","1,697 (17.19%)",
채널 메세지 유형: 거래성 발송,0,"7,828,378 (97.98%)","1,841 (18.65%)","$\chi^2$=299613.34, $p$<0.001"
채널 메세지 유형: 거래성 발송,1,"161,213 (2.02%)","8,031 (81.35%)",
채널 메세지 유형: 전체 유저 발송,0,"563,417 (7.05%)","8,138 (82.44%)","$\chi^2$=84441.83, $p$<0.001"
채널 메세지 유형: 전체 유저 발송,1,"7,426,174 (92.95%)","1,734 (17.56%)",
유저 클릭율(30일 내),Mean ± SD,0.00 ± 0.04,0.12 ± 0.31,"$T$=-38.62, $p$<0.001"
푸시 경과 시간,Mean ± SD,589.88 ± 1506.69,244.54 ± 897.33,"$T$=38.17, $p$<0.001"
메시지 수신: 패블릿,0,"7,985,033 (99.94%)","9,780 (99.07%)","$\chi^2$=1284.03, $p$<0.001"
메시지 수신: 패블릿,1,"4,558 (0.06%)",92 (0.93%),
주제 경과 시간,Mean ± SD,2380.17 ± 1685.01,1842.70 ± 1508.20,"$T$=35.38, $p$<0.001"
