Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
XGBoost,Train set,2400002,1687,2397040,0,1275,1.0,0.5695476029709655,1.0,0.7257474725747473,0.999468750442708,0.7847738014854828,0.9999891551904562
LightGBM,Train set,2400002,1987,2397040,0,975,1.0,0.6708305199189737,1.0,0.8029905031319459,0.9995937503385414,0.8354152599594868,0.9999794117843248
CatBoost,Train set,2400002,1602,2396966,74,1360,0.9558472553699284,0.5408507765023632,0.99996912859193,0.6908150064683053,0.9994025004979162,0.7704099525471466,0.99922821507994
XGBoost,Validation(CV),2400002,1450,2397016,24,1512,0.4714990181378099,0.5759737009737009,0.9992015152020824,0.5182926314916928,0.9986791677777732,0.7875876080878917,0.9916216023641484
LightGBM,Validation(CV),2400002,1486,2397021,19,1476,0.3423216377733793,0.6266175266175266,0.9985123318759804,0.4425714566338692,0.9980533349236046,0.8125649292467536,0.9948413956710388
CatBoost,Validation(CV),2400002,1526,2396966,74,1436,0.1270730009892922,0.9632007007007009,0.9918161565931316,0.2244981797441437,0.9917808403558735,0.977508428646916,0.9975339070627426
XGBoost,Test set,600001,349,599257,4,391,0.9886685552407932,0.4716216216216216,0.9999933251120964,0.6386093321134492,0.9993416677638872,0.735807473366859,0.9842479681167664
LightGBM,Test set,600001,374,599221,40,366,0.9033816425120772,0.5054054054054054,0.999933251120964,0.6481802426343154,0.9993233344611092,0.7526693282631847,0.9855811630965112
CatBoost,Test set,600001,412,599074,187,328,0.6878130217028381,0.5567567567567567,0.9996879489905066,0.6153846153846154,0.9991416680972198,0.7782223528736316,0.996628447596515
XGBoost,Entire population,3000003,2036,2996297,4,1666,0.9980392156862744,0.5499729875742841,0.9999986650206372,0.7091605712295368,0.9994433338899994,0.7749858262974607,0.9984104126752416
LightGBM,Entire population,3000003,2361,2996261,40,1341,0.9833402748854644,0.6377633711507293,0.9999866502063712,0.7737178436834343,0.9995396671269996,0.8188750106785503,0.9967852136400552
CatBoost,Entire population,3000003,2014,2996040,261,1688,0.8852747252747253,0.5440302539168017,0.9999128925965716,0.6739166806090011,0.9993503339829992,0.7719715732566866,0.9986449272053288
