Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,F0.5-score,F2-score,Balanced Accuracy,AUC,PR-AUC
XGBoost,Train set,7999463,9814,7969626,19965,58,0.3295611001041002,0.9941247974068071,0.9975011236495085,0.4950190411338932,0.9974969569832375,0.3804229850838838,0.7084181500570257,0.9958129605281578,0.9995449271333386,0.7640099650546878
XGBoost,Validation(CV),7999463,6565,7967929,21662,3307,0.19569617652229862,0.8438010943890003,0.9957122961772118,0.31767790337468155,0.9955248245998339,0.23120670867942658,0.5075123143636635,0.919756695283106,0.9953276962738571,0.3033090584059509
XGBoost,Test set,1999866,1647,1991793,5605,821,0.22710976282404854,0.6673419773095624,0.9971938491978063,0.3388888888888889,0.9967867847145758,0.2616279069767442,0.4809039943938332,0.8322679132536843,0.9946775729900451,0.32445554074184746
XGBoost,Entire population,9999329,11461,9961419,25570,879,0.3094974480840377,0.9287682333873581,0.9974396687530146,0.46428065058435114,0.9973549225153008,0.3571206002592482,0.663321410795106,0.9631039510701864,0.9985879167863423,0.679526627560681
LightGBM,Train set,7999463,9824,7968325,21266,48,0.31598584753940173,0.9951377633711507,0.9973382867783845,0.4796640789023973,0.9973355711502134,0.36593360748554743,0.6959675819660518,0.9962380250747676,0.9994848368053811,0.7528944569854441
LightGBM,Validation(CV),7999463,6645,7966667,22924,3227,0.19158036139049878,0.8567654816255041,0.9955301842320482,0.3131142645620873,0.9953589384639301,0.22679077391348765,0.5055706229784306,0.9261478329287762,0.9951344703343492,0.3086886676755595
LightGBM,Test set,1999866,1713,1991294,6104,755,0.21913777664065498,0.6940842787682334,0.9969440241754522,0.3331064657267866,0.996570270208104,0.2538830922456723,0.48419921985414666,0.8455141514718428,0.9928252913117762,0.31034527553420216
LightGBM,Entire population,9999329,11537,9959619,27370,803,0.29652761713830417,0.9349270664505672,0.9972594342499026,0.4502507463851543,0.9971825109464845,0.3434285101924176,0.6535284987594457,0.9660932503502349,0.9981746612632771,0.6710031210611553
CatBoost,Train set,7999463,4324,7982222,7369,5548,0.36979389378260497,0.4380064829821718,0.999077674939806,0.40102017157431025,0.9983852666110212,0.3816820845985453,0.42242238330630505,0.7185420789609889,0.9983159985942098,0.39908398640182974
CatBoost,Validation(CV),7999463,4206,7982117,7474,5666,0.12717353988118513,0.9764988371091393,0.9917182243812993,0.22503752729972323,0.9916994428354109,0.15395403572200433,0.41806920000443204,0.9841085307452193,0.9975008032027795,0.38227226301086625
CatBoost,Test set,1999866,1023,1995548,1850,1445,0.35607379046293075,0.4145056726094003,0.9990737950073045,0.38307433064969104,0.9983523896101039,0.36640401146131807,0.4013338564142801,0.7067897338083524,0.9969379295364404,0.3795674452572216
CatBoost,Entire population,9999329,5347,9977770,9219,6993,0.3670877385692709,0.4333063209076175,0.999076898953228,0.397457816100498,0.9983786912101802,0.3786612656506714,0.41821793949253827,0.7161916099304227,0.9980411449114401,0.3951471740672472
