Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC,PR-AUC
XGBoost,Train set,2400002,1659,2397037,3,1303,0.9981949458483754,0.5600945307224848,0.9999987484564296,0.717560553633218,0.9994558337868051,0.7800466395894572,0.9999695792236714,0.9766685841230565
XGBoost,Validation(CV),2400002,1460,2397012,28,1502,0.3263567764721106,0.6323446971423362,0.9983855087941794,0.4304304641576756,0.9979337516744756,0.8153651029682578,0.99682637185347,0.6386377153853073
XGBoost,Test set,600001,370,599184,77,370,0.8277404921700223,0.5,0.9998715084078557,0.6234203875315922,0.9992550012416646,0.7499357542039278,0.9936371315354763,0.6234431729633322
XGBoost,Entire population,3000003,2029,2996221,80,1673,0.9620673304883831,0.5480821177741761,0.9999733004127422,0.6983307520220272,0.9994156672509994,0.7740277090934592,0.9988981461413671,0.8884653044460832
LightGBM,Train set,2400002,1551,2397005,35,1411,0.9779319041614124,0.5236326806212019,0.9999853986583453,0.6820580474934037,0.9993975005020829,0.7618090396397736,0.9991465392563951,0.75755884781797
LightGBM,Validation(CV),2400002,1513,2397007,33,1449,0.11805830301165603,0.9851425413609224,0.9909054500550679,0.21084765792640997,0.9908983408697759,0.9880239957079953,0.9976746510736293,0.6820028125877642
LightGBM,Test set,600001,403,599104,157,337,0.7196428571428571,0.5445945945945946,0.9997380106497836,0.62,0.9991766680388866,0.7721663026221891,0.9953483348883267,0.6442038958267742
LightGBM,Entire population,3000003,1954,2996109,192,1748,0.9105312208760484,0.5278227984873042,0.9999359209905814,0.6682626538987688,0.9993533339799994,0.7638793597389428,0.9982989518603,0.7167475518347702
CatBoost,Train set,2400002,1530,2397029,11,1432,0.9928617780661908,0.5165428764348413,0.9999954110069085,0.6795469686875416,0.9993987505010412,0.7582691437208748,0.9991406306214531,0.7575695133838796
CatBoost,Validation(CV),2400002,1486,2397029,11,1476,0.12780133743444236,0.9567778360147668,0.991919617528285,0.22544144493308202,0.9918762568671733,0.9743487267715258,0.9975028903520607,0.6773811055304779
CatBoost,Test set,600001,381,599254,7,359,0.9819587628865979,0.5148648648648648,0.9999883189461687,0.675531914893617,0.999390001016665,0.7574265919055168,0.995182718742278,0.6620795731477745
CatBoost,Entire population,3000003,1911,2996283,18,1791,0.9906687402799378,0.5162074554294975,0.999993992592867,0.678742674480554,0.9993970006029994,0.7581007240111823,0.9982204689933201,0.7231120239703372
